state,state_name,year,total,sheltered,unsheltered
FL,Florida ,2007,48069.0,20529.0,27540.0
GA,Georgia ,2007,19639.0,8341.0,11298.0
HI,Hawaii ,2007,6070.0,2712.0,3358.0
IA,Iowa ,2007,2734.0,2441.0,293.0
ID,Idaho ,2007,1749.0,1125.0,624.0
IL,Illinois ,2007,15487.0,12171.0,3316.0
IN,Indiana ,2007,7358.0,6096.0,1262.0
KS,Kansas ,2007,2111.0,1829.0,282.0
KY,Kentucky ,2007,8061.0,5940.0,2121.0
LA,Louisiana ,2007,5494.0,3917.0,1577.0
MA,Massachusetts ,2007,15127.0,13713.0,1414.0
MD,Maryland ,2007,9628.0,6418.0,3210.0
ME,Maine ,2007,2638.0,2576.0,62.0
MI,Michigan ,2007,28295.0,11552.0,16743.0
MN,Minnesota ,2007,7323.0,5878.0,1445.0
MO,Missouri ,2007,6247.0,5137.0,1110.0
MS,Mississippi ,2007,1377.0,851.0,526.0
MT,Montana ,2007,1150.0,855.0,295.0
NC,North Carolina ,2007,11802.0,7879.0,3923.0
ND,North Dakota ,2007,636.0,577.0,59.0
NE,Nebraska ,2007,3531.0,3007.0,524.0
NH,New Hampshire ,2007,2248.0,1273.0,975.0
NJ,New Jersey ,2007,17314.0,14836.0,2478.0
NM,New Mexico ,2007,3015.0,1748.0,1267.0
NV,Nevada ,2007,8642.0,4818.0,3824.0
NY,New York ,2007,62601.0,57281.0,5320.0
OH,Ohio ,2007,11264.0,9380.0,1884.0
OK,Oklahoma ,2007,4221.0,3089.0,1132.0
OR,Oregon ,2007,17590.0,8329.0,9261.0
PA,Pennsylvania ,2007,16220.0,14741.0,1479.0
RI,Rhode Island ,2007,1372.0,1323.0,49.0
SC,South Carolina ,2007,5660.0,3086.0,2574.0
SD,South Dakota ,2007,579.0,538.0,41.0
TN,Tennessee ,2007,11210.0,6446.0,4764.0
TX,Texas ,2007,39788.0,22882.0,16906.0
UT,Utah ,2007,3011.0,2698.0,313.0
VA,Virginia ,2007,9746.0,7567.0,2179.0
VT,Vermont ,2007,1035.0,720.0,315.0
WA,Washington ,2007,23379.0,16857.0,6522.0
WI,Wisconsin ,2007,5648.0,5085.0,563.0
WV,West Virginia ,2007,2409.0,2147.0,262.0
WY,Wyoming ,2007,537.0,397.0,140.0
