state,state_name,year,total,sheltered,unsheltered
KY,Kentucky ,2015,4538.0,3796.0,742.0
LA,Louisiana ,2015,4081.0,2890.0,1191.0
MA,Massachusetts ,2015,21135.0,20542.0,593.0
MD,Maryland ,2015,8390.0,6594.0,1796.0
ME,Maine ,2015,2372.0,2313.0,59.0
MI,Michigan ,2015,10516.0,9444.0,1072.0
MN,Minnesota ,2015,7546.0,6705.0,841.0
MO,Missouri ,2015,6482.0,5411.0,1071.0
MS,Mississippi ,2015,1983.0,1141.0,842.0
MT,Montana ,2015,1709.0,837.0,872.0
NC,North Carolina ,2015,10685.0,8260.0,2425.0
ND,North Dakota ,2015,1305.0,819.0,486.0
NE,Nebraska ,2015,2744.0,2621.0,123.0
NH,New Hampshire ,2015,1445.0,1313.0,132.0
NJ,New Jersey ,2015,10098.0,9124.0,974.0
NM,New Mexico ,2015,2629.0,2175.0,454.0
NV,Nevada ,2015,8743.0,4528.0,4215.0
NY,New York ,2015,88250.0,84228.0,4022.0
OH,Ohio ,2015,11182.0,10083.0,1099.0
OK,Oklahoma ,2015,3777.0,2999.0,778.0
OR,Oregon ,2015,13226.0,5831.0,7395.0
PA,Pennsylvania ,2015,15421.0,13993.0,1428.0
RI,Rhode Island ,2015,1111.0,1075.0,36.0
SC,South Carolina ,2015,5354.0,3458.0,1896.0
SD,South Dakota ,2015,1036.0,900.0,136.0
TN,Tennessee ,2015,9123.0,5879.0,3244.0
TX,Texas ,2015,23678.0,16192.0,7486.0
UT,Utah ,2015,3025.0,2799.0,226.0
VA,Virginia ,2015,7001.0,6190.0,811.0
VT,Vermont ,2015,1523.0,1373.0,150.0
WA,Washington ,2015,19419.0,12298.0,7121.0
WI,Wisconsin ,2015,6057.0,5615.0,442.0
WV,West Virginia ,2015,1835.0,1403.0,432.0
WY,Wyoming ,2015,798.0,507.0,291.0
AK,Alaska ,2014,1784.0,1639.0,145.0
AL,Alabama,2014,4561.0,3518.0,1043.0
AR,Arkansas ,2014,2936.0,1503.0,1433.0
AZ,Arizona ,2014,10495.0,7926.0,2569.0
CA,California ,2014,113952.0,42515.0,71437.0
CO,Colorado ,2014,10028.0,8083.0,1945.0
CT,Connecticut ,2014,4450.0,3531.0,919.0
DC,Washington DC,2014,7748.0,7352.0,396.0
DE,Delaware ,2014,901.0,864.0,37.0
FL,Florida ,2014,41542.0,19851.0,21691.0
GA,Georgia ,2014,16521.0,8214.0,8307.0
HI,Hawaii ,2014,6918.0,3813.0,3105.0
IA,Iowa ,2014,3122.0,2926.0,196.0
ID,Idaho ,2014,2104.0,1468.0,636.0
IL,Illinois ,2014,13107.0,11409.0,1698.0
IN,Indiana ,2014,5971.0,5568.0,403.0
KS*,Kansas*,2014,2783.0,2534.0,249.0
KY,Kentucky ,2014,5089.0,4258.0,831.0
LA,Louisiana ,2014,4606.0,3503.0,1103.0
MA,Massachusetts ,2014,21237.0,20478.0,759.0
MD,Maryland ,2014,7856.0,6267.0,1589.0
ME,Maine ,2014,2726.0,2633.0,93.0
MI,Michigan ,2014,12227.0,10075.0,2152.0
MN,Minnesota ,2014,8377.0,7582.0,795.0
MO,Missouri ,2014,7282.0,6309.0,973.0
MS,Mississippi ,2014,2226.0,1405.0,821.0
MT,Montana ,2014,1745.0,911.0,834.0
NC,North Carolina ,2014,11491.0,8874.0,2617.0
ND,North Dakota ,2014,1258.0,794.0,464.0
NE,Nebraska ,2014,3026.0,2917.0,109.0
NH,New Hampshire ,2014,1376.0,1243.0,133.0
NJ,New Jersey ,2014,11671.0,10736.0,935.0
NM,New Mexico ,2014,2746.0,2318.0,428.0
NV,Nevada ,2014,8582.0,4797.0,3785.0
NY,New York ,2014,80590.0,76487.0,4103.0
OH,Ohio ,2014,11823.0,10720.0,1103.0
OK,Oklahoma ,2014,4191.0,3259.0,932.0
OR,Oregon ,2014,12164.0,6101.0,6063.0
PA,Pennsylvania ,2014,15333.0,14301.0,1032.0
RI,Rhode Island ,2014,1190.0,1170.0,20.0
SC,South Carolina ,2014,5057.0,3249.0,1808.0
SD,South Dakota ,2014,885.0,830.0,55.0
TN,Tennessee ,2014,9415.0,6383.0,3032.0
TX,Texas ,2014,28495.0,18228.0,10267.0
UT,Utah ,2014,3081.0,2768.0,313.0
VA,Virginia ,2014,7020.0,6330.0,690.0
VT,Vermont ,2014,1559.0,1396.0,163.0
WA,Washington ,2014,18442.0,12540.0,5902.0
WI,Wisconsin ,2014,6055.0,5712.0,343.0
WV,West Virginia ,2014,2013.0,1583.0,430.0
WY,Wyoming ,2014,757.0,563.0,194.0
AK,Alaska ,2013,1946.0,1741.0,205.0
AL,Alabama,2013,4689.0,3246.0,1443.0
AR,Arkansas ,2013,3812.0,1664.0,2148.0
AZ,Arizona ,2013,10562.0,7431.0,3131.0
CA,California ,2013,118552.0,45554.0,72998.0
CO,Colorado ,2013,9754.0,7591.0,2163.0
CT,Connecticut ,2013,4448.0,3529.0,919.0
DC,Washington DC,2013,6865.0,6353.0,512.0
DE,Delaware ,2013,946.0,936.0,10.0
FL,Florida ,2013,47862.0,19670.0,28192.0
GA,Georgia ,2013,16971.0,8510.0,8461.0
HI,Hawaii ,2013,6335.0,3745.0,2590.0
IA,Iowa ,2013,3084.0,2950.0,134.0
ID,Idaho ,2013,1781.0,1404.0,377.0
IL,Illinois ,2013,13425.0,11229.0,2196.0
IN,Indiana ,2013,6096.0,5396.0,700.0
KS,Kansas ,2013,2693.0,2382.0,311.0
KY,Kentucky ,2013,5245.0,4491.0,754.0
LA,Louisiana ,2013,5226.0,3651.0,1575.0
MA,Massachusetts ,2013,19029.0,18179.0,850.0
MD,Maryland ,2013,8205.0,6283.0,1922.0
ME,Maine ,2013,3016.0,2954.0,62.0
MI,Michigan ,2013,11527.0,9339.0,2188.0
MN,Minnesota ,2013,8214.0,7299.0,915.0
MO,Missouri ,2013,8581.0,6501.0,2080.0
MS,Mississippi ,2013,2403.0,1083.0,1320.0
MT,Montana ,2013,1878.0,1094.0,784.0
NC,North Carolina ,2013,12168.0,9013.0,3155.0
ND,North Dakota ,2013,2069.0,674.0,1395.0
NE,Nebraska ,2013,3145.0,2972.0,173.0
NH,New Hampshire ,2013,1447.0,1245.0,202.0
NJ,New Jersey ,2013,12002.0,10603.0,1399.0
NM,New Mexico ,2013,2819.0,2391.0,428.0
NV,Nevada ,2013,7039.0,3698.0,3341.0
NY,New York ,2013,77430.0,73273.0,4157.0
OH,Ohio ,2013,12325.0,10987.0,1338.0
OK,Oklahoma ,2013,4408.0,3262.0,1146.0
OR,Oregon ,2013,13822.0,6432.0,7390.0
PA,Pennsylvania ,2013,15086.0,13727.0,1359.0
RI,Rhode Island ,2013,1384.0,1267.0,117.0
SC,South Carolina ,2013,6544.0,3411.0,3133.0
SD,South Dakota ,2013,1094.0,755.0,339.0
