year,count_type,estimate,margin_of_error,state
2007,other,1132783,20341.0,IL
2007,two_or_more,199006,11421.0,IL
2007,two_or_more_inculding_other,55646,5740.0,IL
2007,total,6345289,,IN
2007,two_or_more_exc_other_or_three_plus,92338,5728.0,IN
2007,white,5436898,8556.0,IN
2007,black_aa,551215,6084.0,IN
2007,am_indian_native,13410,1926.0,IN
2007,asian,83200,2664.0,IN
2007,hawaiian_islander,969,541.0,IN
2007,other,152795,7457.0,IN
2007,two_or_more,106802,6716.0,IN
2007,two_or_more_inculding_other,14464,2798.0,IN
2007,total,2988047,,IA
2007,two_or_more_exc_other_or_three_plus,35317,3281.0,IA
2007,white,2766081,5527.0,IA
2007,black_aa,70018,2980.0,IA
2007,am_indian_native,9111,1347.0,IA
2007,asian,47849,2025.0,IA
2007,hawaiian_islander,1395,743.0,IA
2007,other,52435,5537.0,IA
2007,two_or_more,41158,3771.0,IA
2007,two_or_more_inculding_other,5841,1710.0,IA
2007,total,2775997,,KS
2007,two_or_more_exc_other_or_three_plus,59908,4812.0,KS
2007,white,2374824,6520.0,KS
2007,black_aa,159268,4646.0,KS
2007,am_indian_native,23615,2865.0,KS
2007,asian,59948,2319.0,KS
2007,hawaiian_islander,1036,618.0,KS
2007,other,84581,6739.0,KS
2007,two_or_more,72725,5270.0,KS
2007,two_or_more_inculding_other,12817,2502.0,KS
2007,total,4241474,,KY
2007,two_or_more_exc_other_or_three_plus,48352,4623.0,KY
2007,white,3781361,4853.0,KY
2007,black_aa,322149,5145.0,KY
2007,am_indian_native,6974,1749.0,KY
2007,asian,39749,2413.0,KY
2007,hawaiian_islander,1813,1108.0,KY
2007,other,34108,3567.0,KY
2007,two_or_more,55320,4865.0,KY
2007,two_or_more_inculding_other,6968,1733.0,KY
2007,total,4293204,,LA
2007,two_or_more_exc_other_or_three_plus,48860,5839.0,LA
2007,white,2756277,4944.0,LA
2007,black_aa,1357893,6202.0,LA
2007,am_indian_native,21683,1529.0,LA
2007,asian,59825,2237.0,LA
2007,hawaiian_islander,1803,825.0,LA
2007,other,40811,4754.0,LA
2007,two_or_more,54912,6129.0,LA
2007,two_or_more_inculding_other,6052,1963.0,LA
2007,total,1317207,,ME
2007,two_or_more_exc_other_or_three_plus,22779,2817.0,ME
2007,white,1254460,3314.0,ME
2007,black_aa,14652,2437.0,ME
2007,am_indian_native,7557,1007.0,ME
2007,asian,12718,893.0,ME
2007,hawaiian_islander,296,272.0,ME
2007,other,3838,1365.0,ME
2007,two_or_more,23686,2910.0,ME
2007,two_or_more_inculding_other,907,649.0,ME
2007,total,5618344,,MD
2007,two_or_more_exc_other_or_three_plus,100317,6819.0,MD
2007,white,3402960,10537.0,MD
2007,black_aa,1626017,6823.0,MD
2007,am_indian_native,13038,1543.0,MD
2007,asian,275002,3352.0,MD
2007,hawaiian_islander,3020,1503.0,MD
2007,other,182967,10027.0,MD
2007,two_or_more,115340,7441.0,MD
2007,two_or_more_inculding_other,15023,2753.0,MD
2007,total,6449755,,MA
2007,two_or_more_exc_other_or_three_plus,99627,7990.0,MA
2007,white,5330421,12171.0,MA
2007,black_aa,384615,7248.0,MA
2007,am_indian_native,11347,1769.0,MA
2007,asian,310654,3271.0,MA
2007,hawaiian_islander,1966,909.0,MA
2007,other,290054,13916.0,MA
2007,two_or_more,120698,8159.0,MA
2007,two_or_more_inculding_other,21071,2576.0,MA
2007,total,10071822,,MI
2007,two_or_more_exc_other_or_three_plus,166108,7577.0,MI
2007,white,8001673,8566.0,MI
2007,black_aa,1416635,8197.0,MI
2007,am_indian_native,52228,3048.0,MI
2007,asian,240214,3128.0,MI
2007,hawaiian_islander,2368,817.0,MI
2007,other,167762,9852.0,MI
2007,two_or_more,190942,8082.0,MI
2007,two_or_more_inculding_other,24834,3306.0,MI
2007,total,5197621,,MN
2007,two_or_more_exc_other_or_three_plus,86233,6012.0,MN
2007,white,4570486,6559.0,MN
2007,black_aa,225798,4327.0,MN
2007,am_indian_native,51764,3000.0,MN
2007,asian,180700,3061.0,MN
2007,hawaiian_islander,1396,715.0,MN
2007,other,71518,6700.0,MN
2007,two_or_more,95959,6696.0,MN
2007,two_or_more_inculding_other,9726,2214.0,MN
2007,total,2918785,,MS
2007,two_or_more_exc_other_or_three_plus,24481,4161.0,MS
2007,white,1745130,3190.0,MS
2007,black_aa,1095051,6689.0,MS
2007,am_indian_native,10984,2249.0,MS
2007,asian,20207,3076.0,MS
2007,hawaiian_islander,1777,1351.0,MS
2007,other,19149,2835.0,MS
2007,two_or_more,26487,4369.0,MS
2007,two_or_more_inculding_other,2006,1022.0,MS
2007,total,5878415,,MO
2007,two_or_more_exc_other_or_three_plus,100369,6755.0,MO
2007,white,4930507,6300.0,MO
2007,black_aa,664022,6137.0,MO
2007,am_indian_native,22514,2308.0,MO
2007,asian,81621,3117.0,MO
2007,hawaiian_islander,7669,2744.0,MO
2007,other,61151,5017.0,MO
2007,two_or_more,110931,7382.0,MO
2007,two_or_more_inculding_other,10562,2475.0,MO
2007,total,957861,,MT
2007,two_or_more_exc_other_or_three_plus,21330,2552.0,MT
2007,white,858205,2418.0,MT
2007,black_aa,5961,1384.0,MT
