year,state,population,per_capita
2015,Maine,1327787.0,1.7864311067964969
2015,Michigan,9918170.0,1.0602762404758135
2015,Minnesota,5483238.0,1.3761941393023611
2015,Missouri,6072640.0,1.067410549612689
2015,Mississippi,2985297.0,0.6642555162853143
2015,Montana,1028317.0,1.661938876824948
2015,North Carolina,10041769.0,1.0640555463882906
2015,North Dakota,754859.0,1.728799683119629
2015,Nebraska,1893564.0,1.4491192270237498
2015,New Hampshire,1330134.0,1.0863567129326819
2015,New Jersey,8960001.0,1.127008802789196
2015,New Mexico,2082264.0,1.262568050929181
2015,Nevada,2883057.0,3.0325449687605897
2015,New York,19819347.0,4.452719860043826
2015,Ohio,11606027.0,0.9634649307639901
2015,Oklahoma,3904353.0,0.967381791554196
2015,Oregon,4016537.0,3.2928863844650254
2015,Pennsylvania,12791124.0,1.2056016343833427
2015,Rhode Island,1055916.0,1.0521670284378681
2015,South Carolina,4892423.0,1.094345276358974
2015,South Dakota,854036.0,1.2130636179271133
2015,Tennessee,6590726.0,1.3842177629596497
2015,Texas,27454880.0,0.8624331994894896
2015,Utah,2984917.0,1.0134285140926866
2015,Virginia,8366767.0,0.8367628738794806
2015,Vermont,624455.0,2.4389267441208737
2015,Washington,7152818.0,2.7148740538344467
2015,Wisconsin,5759744.0,1.051609238188364
2015,West Virginia,1839767.0,0.9974089110197106
2015,Wyoming,586102.0,1.3615377528143566
2014,Alaska,736759.0,2.4214159582712935
2014,Alabama,4840037.0,0.9423481679995422
2014,Arkansas,2964800.0,0.9902860226659472
2014,Arizona,6706435.0,1.5649148914438147
2014,California,38701278.0,2.9443988903932317
2014,Colorado,5342311.0,1.8770902704840657
2014,Connecticut,3600188.0,1.2360465620128727
2014,,,
2014,Delaware,934805.0,0.9638373778488561
2014,Florida,19897747.0,2.0877740580378275
2014,Georgia,10083850.0,1.638362331847459
2014,Hawaii,1417710.0,4.879700361851154
2014,Iowa,3105563.0,1.0052927601211117
2014,Idaho,1630391.0,1.2904879872374173
2014,Illinois,12882438.0,1.0174316383280866
2014,Indiana,6593182.0,0.9056325155289207
2014,,,
2014,Kentucky,4410415.0,1.153859670801954
2014,Louisiana,4648797.0,0.9907939623950025
2014,Massachusetts,6757925.0,3.14253265610376
2014,Maryland,5970245.0,1.3158588969129406
2014,Maine,1328903.0,2.0513160102731347
2014,Michigan,9914675.0,1.2332224707315167
2014,Minnesota,5452649.0,1.5363174853176869
2014,Missouri,6058014.0,1.2020441022420878
2014,Mississippi,2988578.0,0.7448358383150783
2014,Montana,1019931.0,1.710900051081887
2014,North Carolina,9941160.0,1.155901323386808
2014,North Dakota,738658.0,1.7030885741439206
2014,Nebraska,1880920.0,1.608787189247815
2014,New Hampshire,1328684.0,1.0356111761713094
2014,New Jersey,8943010.0,1.3050415911421323
2014,New Mexico,2083207.0,1.3181599332183505
2014,Nevada,2831730.0,3.0306561713157683
2014,New York,19773580.0,4.075640324109241
2014,Ohio,11593741.0,1.0197743765364433
2014,Oklahoma,3875008.0,1.0815461542272944
2014,Oregon,3960673.0,3.071195223640023
2014,Pennsylvania,12790341.0,1.1987952471321914
2014,Rhode Island,1054782.0,1.1281952100054797
2014,South Carolina,4824758.0,1.0481354712505788
2014,South Dakota,849455.0,1.0418444767527415
2014,Tennessee,6540007.0,1.439600905625942
2014,Texas,26954436.0,1.0571543771125465
2014,Utah,2938671.0,1.0484331182361006
2014,Virginia,8316902.0,0.8440642922088056
2014,Vermont,625665.0,2.491748779298826
2014,Washington,7046931.0,2.617025766252004
2014,Wisconsin,5751272.0,1.0528105782512112
