state,state_name,year,total,veteran,non_veteran,sh_veteran,uns_veteran
SC,South Carolina ,2016,5051.0,738.0,4313.0,452.0,286.0
SD,South Dakota ,2016,1072.0,120.0,952.0,109.0,11.0
TN,Tennessee ,2016,8779.0,831.0,7948.0,654.0,177.0
TX,Texas ,2016,23122.0,1768.0,21354.0,1285.0,483.0
UT,Utah ,2016,2807.0,335.0,2472.0,311.0,24.0
VA,Virginia ,2016,6268.0,515.0,5753.0,439.0,76.0
VT,Vermont ,2016,1117.0,110.0,1007.0,97.0,13.0
WA,Washington ,2016,20827.0,1484.0,19343.0,999.0,485.0
WI,Wisconsin ,2016,5685.0,415.0,5270.0,392.0,23.0
WV,West Virginia ,2016,1387.0,143.0,1244.0,126.0,17.0
WY,Wyoming ,2016,857.0,87.0,770.0,56.0,31.0
AK,Alaska ,2015,1956.0,180.0,1776.0,149.0,31.0
AL,Alabama,2015,3970.0,474.0,3496.0,399.0,75.0
AR,Arkansas ,2015,2560.0,456.0,2104.0,385.0,71.0
AZ,Arizona ,2015,9896.0,1220.0,8676.0,672.0,548.0
CA,California ,2015,115738.0,11311.0,104427.0,4309.0,7002.0
CO,Colorado ,2015,9953.0,950.0,9003.0,644.0,306.0
CT,Connecticut ,2015,4047.0,282.0,3765.0,241.0,41.0
DC,Washington DC,2015,7298.0,408.0,6890.0,366.0,42.0
DE,Delaware ,2015,953.0,79.0,874.0,74.0,5.0
FL,Florida ,2015,35900.0,3926.0,31974.0,2372.0,1554.0
GA,Georgia ,2015,13790.0,1548.0,12242.0,866.0,682.0
HI,Hawaii ,2015,7620.0,692.0,6928.0,275.0,417.0
IA,Iowa ,2015,3081.0,207.0,2874.0,175.0,32.0
ID,Idaho ,2015,1966.0,249.0,1717.0,174.0,75.0
IL,Illinois ,2015,13177.0,1226.0,11951.0,769.0,457.0
IN,Indiana ,2015,5863.0,790.0,5073.0,726.0,64.0
KS,Kansas ,2015,2588.0,311.0,2277.0,276.0,35.0
KY,Kentucky ,2015,4538.0,591.0,3947.0,541.0,50.0
LA,Louisiana ,2015,4081.0,392.0,3689.0,350.0,42.0
MA,Massachusetts ,2015,21135.0,1133.0,20002.0,1101.0,32.0
MD,Maryland ,2015,8390.0,714.0,7676.0,586.0,128.0
ME,Maine ,2015,2372.0,151.0,2221.0,142.0,9.0
MI,Michigan ,2015,10516.0,1067.0,9449.0,991.0,76.0
MN,Minnesota ,2015,7546.0,297.0,7249.0,253.0,44.0
MO,Missouri ,2015,6482.0,540.0,5942.0,430.0,110.0
MS,Mississippi ,2015,1983.0,206.0,1777.0,87.0,119.0
MT,Montana ,2015,1709.0,277.0,1432.0,98.0,179.0
NC,North Carolina ,2015,10685.0,1092.0,9593.0,904.0,188.0
ND,North Dakota ,2015,1305.0,137.0,1168.0,90.0,47.0
NE,Nebraska ,2015,2744.0,247.0,2497.0,231.0,16.0
NH,New Hampshire ,2015,1445.0,138.0,1307.0,124.0,14.0
NJ,New Jersey ,2015,10098.0,696.0,9402.0,616.0,80.0
NM,New Mexico ,2015,2629.0,278.0,2351.0,214.0,64.0
NV,Nevada ,2015,8743.0,860.0,7883.0,516.0,344.0
NY,New York ,2015,88250.0,2399.0,85851.0,2268.0,131.0
OH,Ohio ,2015,11182.0,1183.0,9999.0,1073.0,110.0
OK,Oklahoma ,2015,3777.0,351.0,3426.0,253.0,98.0
OR,Oregon ,2015,13226.0,1464.0,11762.0,769.0,695.0
PA,Pennsylvania ,2015,15421.0,1375.0,14046.0,1295.0,80.0
RI,Rhode Island ,2015,1111.0,107.0,1004.0,105.0,2.0
SC,South Carolina ,2015,5354.0,681.0,4673.0,470.0,211.0
SD,South Dakota ,2015,1036.0,177.0,859.0,170.0,7.0
TN,Tennessee ,2015,9123.0,945.0,8178.0,756.0,189.0
TX,Texas ,2015,23678.0,2393.0,21285.0,1490.0,903.0
UT,Utah ,2015,3025.0,337.0,2688.0,313.0,24.0
VA,Virginia ,2015,7001.0,604.0,6397.0,513.0,91.0
VT,Vermont ,2015,1523.0,119.0,1404.0,113.0,6.0
WA,Washington ,2015,19419.0,1293.0,18126.0,886.0,407.0
WI,Wisconsin ,2015,6057.0,534.0,5523.0,515.0,19.0
WV,West Virginia ,2015,1835.0,305.0,1530.0,227.0,78.0
WY,Wyoming ,2015,798.0,112.0,686.0,83.0,29.0
AK,Alaska ,2014,1784.0,178.0,1606.0,160.0,18.0
AL,Alabama,2014,4561.0,542.0,4019.0,450.0,92.0
AR,Arkansas ,2014,2936.0,361.0,2575.0,220.0,141.0
AZ,Arizona ,2014,10495.0,858.0,9637.0,635.0,223.0
CA,California ,2014,113952.0,12096.0,101856.0,4457.0,7639.0
CO,Colorado ,2014,10028.0,753.0,9275.0,528.0,225.0
CT,Connecticut ,2014,4450.0,295.0,4155.0,221.0,74.0
DC,Washington DC,2014,7748.0,406.0,7342.0,375.0,31.0
DE,Delaware ,2014,901.0,93.0,808.0,89.0,4.0
