location,bedroom_size,month,year,price
Alabama,3br,05,2014,1016.0
Alabama,3br,05,2015,1028.0
Alabama,3br,05,2016,1030.0
Alabama,3br,05,2017,1058.0
Alabama,3br,06,2014,1018.0
Alabama,3br,06,2015,1027.0
Alabama,3br,06,2016,1036.0
Alabama,3br,06,2017,1063.0
Alabama,3br,07,2014,1022.0
Alabama,3br,07,2015,1027.0
Alabama,3br,07,2016,1038.0
Alabama,3br,07,2017,1065.0
Alabama,3br,08,2014,1024.0
Alabama,3br,08,2015,1024.0
Alabama,3br,08,2016,1040.0
Alabama,3br,08,2017,1065.0
Alabama,3br,09,2014,1025.0
Alabama,3br,09,2015,1023.0
Alabama,3br,09,2016,1041.0
Alabama,3br,09,2017,1065.0
Alabama,3br,10,2014,1024.0
Alabama,3br,10,2015,1022.0
Alabama,3br,10,2016,1042.0
Alabama,3br,10,2017,1063.0
Alabama,3br,11,2014,1024.0
Alabama,3br,11,2015,1024.0
Alabama,3br,11,2016,1042.0
Alabama,3br,11,2017,1063.0
Alabama,3br,12,2014,1026.0
Alabama,3br,12,2015,1027.0
Alabama,3br,12,2016,1044.0
Alabama,3br,12,2017,1063.0
Alabama,4br,01,2014,1178.0
Alabama,4br,01,2015,1192.0
Alabama,4br,01,2016,1192.0
Alabama,4br,01,2017,1218.0
Alabama,4br,02,2014,1178.0
Alabama,4br,02,2015,1192.0
Alabama,4br,02,2016,1189.0
Alabama,4br,02,2017,1220.0
Alabama,4br,03,2014,1179.0
Alabama,4br,03,2015,1193.0
Alabama,4br,03,2016,1184.0
Alabama,4br,03,2017,1222.0
Alabama,4br,04,2014,1180.0
Alabama,4br,04,2015,1194.0
Alabama,4br,04,2016,1192.0
Alabama,4br,04,2017,1227.0
Alabama,4br,05,2014,1182.0
Alabama,4br,05,2015,1196.0
Alabama,4br,05,2016,1198.0
Alabama,4br,05,2017,1231.0
Alabama,4br,06,2014,1184.0
Alabama,4br,06,2015,1194.0
Alabama,4br,06,2016,1205.0
Alabama,4br,06,2017,1236.0
Alabama,4br,07,2014,1188.0
Alabama,4br,07,2015,1195.0
Alabama,4br,07,2016,1208.0
Alabama,4br,07,2017,1239.0
Alabama,4br,08,2014,1191.0
Alabama,4br,08,2015,1191.0
Alabama,4br,08,2016,1210.0
Alabama,4br,08,2017,1239.0
Alabama,4br,09,2014,1192.0
Alabama,4br,09,2015,1190.0
Alabama,4br,09,2016,1210.0
Alabama,4br,09,2017,1238.0
Alabama,4br,10,2014,1191.0
Alabama,4br,10,2015,1189.0
Alabama,4br,10,2016,1211.0
Alabama,4br,10,2017,1236.0
Alabama,4br,11,2014,1192.0
Alabama,4br,11,2015,1191.0
Alabama,4br,11,2016,1212.0
Alabama,4br,11,2017,1237.0
Alabama,4br,12,2014,1193.0
Alabama,4br,12,2015,1195.0
Alabama,4br,12,2016,1215.0
Alabama,4br,12,2017,1236.0
Alaska,Studio,01,2014,841.0
Alaska,Studio,01,2015,852.0
Alaska,Studio,01,2016,849.0
Alaska,Studio,01,2017,821.0
Alaska,Studio,02,2014,846.0
Alaska,Studio,02,2015,851.0
Alaska,Studio,02,2016,846.0
Alaska,Studio,02,2017,822.0
Alaska,Studio,03,2014,848.0
Alaska,Studio,03,2015,851.0
Alaska,Studio,03,2016,842.0
Alaska,Studio,03,2017,824.0
Alaska,Studio,04,2014,852.0
Alaska,Studio,04,2015,852.0
Alaska,Studio,04,2016,843.0
Alaska,Studio,04,2017,822.0
Alaska,Studio,05,2014,853.0
Alaska,Studio,05,2015,855.0
Alaska,Studio,05,2016,845.0
Alaska,Studio,05,2017,821.0
Alaska,Studio,06,2014,854.0
Alaska,Studio,06,2015,855.0
Alaska,Studio,06,2016,842.0
Alaska,Studio,06,2017,821.0
