year,total,individual,family,youth,child,yadult,yparent,yparent_u18,yparent_18to24,ypchild,state,population,per_capita,individual_rent,family_rent
2008,2632.0,1241.0,1391.0,,,,,,,,Maine,1318133.0,1.9967636042796897,,
2008,28248.0,17364.0,10884.0,,,,,,,,Michigan,9999456.0,2.824953677480055,,
2008,7644.0,3388.0,4256.0,,,,,,,,Minnesota,5230247.0,1.4614988546430026,,
2008,7687.0,4195.0,3492.0,,,,,,,,Missouri,5951844.0,1.291532506564352,,
2008,1961.0,1697.0,264.0,,,,,,,,Mississippi,2939234.0,0.6671806327771113,,
2008,1417.0,968.0,449.0,,,,,,,,Montana,967717.0,1.4642710627177158,,
2008,12411.0,8749.0,3662.0,,,,,,,,North Carolina,9230086.0,1.344624524625231,,
2008,615.0,375.0,240.0,,,,,,,,North Dakota,640525.0,0.9601498770539793,,
2008,3985.0,2244.0,1741.0,,,,,,,,Nebraska,1780143.0,2.238584203628585,,
2008,2019.0,1172.0,847.0,,,,,,,,New Hampshire,1320981.0,1.5284095683435264,,
2008,13832.0,6848.0,6984.0,,,,,,,,New Jersey,8657319.0,1.59772326744573,,
2008,3015.0,1861.0,1154.0,,,,,,,,New Mexico,1984179.0,1.519520164259374,,
2008,8726.0,6512.0,2214.0,,,,,,,,Nevada,2612460.0,3.3401468347840733,,
2008,61125.0,25771.0,35354.0,,,,,,,,New York,19464482.0,3.1403353040682,,
2008,12912.0,7865.0,5047.0,,,,,,,,Ohio,11526691.0,1.1201827133216289,,
2008,3846.0,2674.0,1172.0,,,,,,,,Oklahoma,3640241.0,1.0565234554525371,,
2008,20653.0,11548.0,9105.0,,,,,,,,Oregon,3780596.0,5.462895268365093,,
2008,15378.0,7734.0,7644.0,,,,,,,,Pennsylvania,12562536.0,1.224115895070868,,
2008,1196.0,714.0,482.0,,,,,,,,Rhode Island,1058368.0,1.1300417246175245,,
2008,5660.0,3809.0,1851.0,,,,,,,,South Carolina,4497746.0,1.2584081004129624,,
2008,579.0,268.0,311.0,,,,,,,,South Dakota,803047.0,0.7210038764854361,,
2008,9705.0,7242.0,2463.0,,,,,,,,Tennessee,6239542.0,1.5554026241028591,,
2008,40190.0,27950.0,12240.0,,,,,,,,Texas,24290611.0,1.6545487472505322,,
2008,3434.0,2018.0,1416.0,,,,,,,,Utah,2724685.0,1.260329175666178,,
2008,8469.0,4838.0,3631.0,,,,,,,,Virginia,7780691.0,1.088463736704105,,
2008,954.0,627.0,327.0,,,,,,,,Vermont,620967.0,1.5363135239070675,,
2008,21954.0,12156.0,9798.0,,,,,,,,Washington,6566085.0,3.3435448977587097,,
2008,5449.0,2285.0,3164.0,,,,,,,,Wisconsin,5627257.0,0.9683225770566372,,
2008,2016.0,1435.0,581.0,,,,,,,,West Virginia,1816352.0,1.1099170204894204,,
2008,751.0,357.0,394.0,,,,,,,,Wyoming,532626.0,1.4099950058765438,,
2007,1642.0,1062.0,580.0,,,,,,,,Alaska,679893.0,2.4150859032230074,,
2007,5452.0,4184.0,1268.0,,,,,,,,Alabama,4634063.0,1.176505369046558,,
2007,3836.0,2987.0,849.0,,,,,,,,Arkansas,2841595.0,1.3499460690210956,,
2007,14646.0,10020.0,4626.0,,,,,,,,Arizona,6360238.0,2.3027440168119497,,
2007,138986.0,110952.0,28034.0,,,,,,,,California,36185908.0,3.8408874526514576,,
2007,14225.0,6844.0,7381.0,,,,,,,,Colorado,4837229.0,2.9407332173027165,,
2007,4482.0,3173.0,1309.0,,,,,,,,Connecticut,3488084.0,1.2849461194168492,,
2007,5320.0,3717.0,1603.0,,,,,,,,Washington DC,,,,
2007,1061.0,716.0,345.0,,,,,,,,Delaware,865314.0,1.226144497835468,,
2007,48069.0,33040.0,15029.0,,,,,,,,Florida,18262096.0,2.632173218233,,
2007,19639.0,12521.0,7118.0,,,,,,,,Georgia,9526642.0,2.0614818946697064,,
2007,6070.0,3335.0,2735.0,,,,,,,,Hawaii,1269796.0,4.780295417531635,,
2007,2734.0,1504.0,1230.0,,,,,,,,Iowa,2979867.0,0.9174906128360762,,
2007,1749.0,1102.0,647.0,,,,,,,,Idaho,1498390.0,1.1672528513938292,,
2007,15487.0,8653.0,6834.0,,,,,,,,Illinois,12775864.0,1.2122076440387908,,
2007,7358.0,4734.0,2624.0,,,,,,,,Indiana,6344771.0,1.15969512532446,,
2007,2111.0,1208.0,903.0,,,,,,,,Kansas,2773740.0,0.7610662859532616,,
2007,8061.0,3890.0,4171.0,,,,,,,,Kentucky,4254513.0,1.8946939402935188,,
2007,5494.0,2973.0,2521.0,,,,,,,,Louisiana,4373448.0,1.2562170626014073,,
2007,15127.0,8292.0,6835.0,,,,,,,,Massachusetts,6499672.0,2.327348210802022,,
2007,9628.0,5052.0,4576.0,,,,,,,,Maryland,5627211.0,1.7109719184157126,,
2007,2638.0,1136.0,1502.0,,,,,,,,Maine,1315749.0,2.004941672005831,,
2007,28295.0,17553.0,10742.0,,,,,,,,Michigan,10051145.0,2.815102160002666,,
2007,7323.0,3269.0,4054.0,,,,,,,,Minnesota,5191267.0,1.4106382892654143,,
