state,year,program,amount
AL,2018,HTF,3000000.0
AR,2003,CDBG,31715000.0
AR,2003,Emergency Shelter Grants Program,1156000.0
AR,2003,HOME,16385610.0
AR,2003,HOPWA,741000.0
AR,2004,CDBG,32260854.0
AR,2004,Emergency Shelter Grants Program,1159863.0
AR,2004,HOME,16586607.0
AR,2004,HOPWA,752000.0
AR,2005,CDBG,30662217.0
AR,2005,CoC,2853649.0
AR,2005,Emergency Shelter Grants Program,1179751.0
AR,2005,HOME,15877255.0
AR,2005,HOPWA,723000.0
AR,2006,CDBG,27653867.0
AR,2006,CoC,2881697.0
AR,2006,Emergency Shelter Grants Program,1179205.0
AR,2006,HOME,14999441.0
AR,2006,HOPWA,707000.0
AR,2007,CDBG,27767389.0
AR,2007,CoC,3852161.0
AR,2007,Emergency Shelter Grants Program,1192330.0
AR,2007,HOME,15050602.0
AR,2007,HOPWA,720000.0
AR,2008,CDBG,26998614.0
AR,2008,CoC,4145152.0
AR,2008,Emergency Shelter Grants Program,1196604.0
AR,2008,HOME,14789460.0
AR,2008,HOPWA,766000.0
AR,2009,CDBG,27425616.0
AR,2009,CoC,4696694.0
AR,2009,Emergency Shelter Grants Program,1202070.0
AR,2009,HOME,16430335.0
AR,2009,HOPWA,797682.0
AR,2009,NSP,19600000.0
AR,2010,CDBG,29830047.0
AR,2010,CoC,5358929.0
AR,2010,Emergency Shelter Grants Program,1203721.0
AR,2010,HOME,16397369.0
AR,2010,HOPWA,849352.0
AR,2010,NSP,15046706.0
AR,2011,CDBG,25019765.0
AR,2011,CoC,6325856.0
AR,2011,ESG,679840.0
AR,2011,Emergency Shelter Grants Program,1208604.0
AR,2011,HOME,14394711.0
AR,2011,HOPWA,863740.0
AR,2011,NSP,5000000.0
AR,2012,CDBG,23433880.0
AR,2012,CoC,4738880.0
AR,2012,ESG,2166647.0
AR,2012,HOME,9179710.0
AR,2012,HOPWA,863949.0
AR,2013,CDBG,24213373.0
AR,2013,CoC,4739132.0
AR,2013,ESG,1709620.0
AR,2013,HOME,8729920.0
AR,2013,HOPWA,817974.0
AR,2014,CDBG,23777379.0
AR,2014,CoC,4923250.0
AR,2014,ESG,1967063.0
AR,2014,HOME,8968841.0
AR,2014,HOPWA,850695.0
AR,2015,CDBG,23122229.0
AR,2015,CoC,4440716.0
AR,2015,ESG,2119435.0
AR,2015,HOME,7647629.0
AR,2015,HOPWA,873093.0
AR,2016,CDBG,23494915.0
AR,2016,CoC,4293758.0
AR,2016,ESG,2081178.0
AR,2016,HOME,7957142.0
AR,2016,HOPWA,898784.0
AR,2016,HTF,3000000.0
AR,2017,CDBG,23027734.0
AR,2017,CoC,4270569.0
AR,2017,ESG,2383028.0
AR,2017,HOME,7742832.0
AR,2017,HOPWA,1024137.0
AR,2017,HTF,3000000.0
AR,2018,CDBG,25504756.0
AR,2018,ESG,2071846.0
AR,2018,HOME,11816589.0
AR,2018,HOPWA,1160124.0
AR,2018,HTF,3000000.0
AZ,2003,CDBG,63395000.0
AZ,2003,Emergency Shelter Grants Program,1866000.0
AZ,2003,HOME,27132175.0
AZ,2003,HOPWA,1904000.0
AZ,2004,CDBG,63544104.0
AZ,2004,Emergency Shelter Grants Program,2318808.0
AZ,2004,HOME,27217696.0
AZ,2004,HOPWA,2945443.0
AZ,2005,CDBG,60447556.0
AZ,2005,CoC,28592468.0
AZ,2005,Emergency Shelter Grants Program,2323988.0
AZ,2005,HOME,25808264.0
AZ,2005,HOPWA,1945000.0
AZ,2006,CDBG,54648361.0
AZ,2006,CoC,28744693.0
AZ,2006,Emergency Shelter Grants Program,2324882.0
AZ,2006,HOME,24402411.0
AZ,2006,HOPWA,1995000.0
AZ,2007,CDBG,54618252.0
AZ,2007,CoC,30506008.0
AZ,2007,Emergency Shelter Grants Program,2356685.0
AZ,2007,HOME,24265241.0
AZ,2007,HOPWA,3294844.0
AZ,2008,CDBG,53173542.0
AZ,2008,CoC,34272557.0
AZ,2008,Emergency Shelter Grants Program,2353434.0
AZ,2008,HOME,23421497.0
AZ,2008,HOPWA,2754582.0
AZ,2009,CDBG,54265946.0
AZ,2009,CoC,34763490.0
AZ,2009,Emergency Shelter Grants Program,2367466.0
AZ,2009,HOME,26094892.0
AZ,2009,HOPWA,2227813.0
AZ,2009,NSP,121119049.0
AZ,2010,CDBG,58918034.0
AZ,2010,CoC,35403279.0
AZ,2010,Emergency Shelter Grants Program,2380432.0
AZ,2010,HOME,25957688.0
AZ,2010,HOPWA,3755790.0
AZ,2010,NSP,219272133.0
AZ,2011,CDBG,49313983.0
AZ,2011,CoC,35323127.0
AZ,2011,ESG,1342776.0
AZ,2011,Emergency Shelter Grants Program,2387159.0
AZ,2011,HOME,22869712.0
AZ,2011,HOPWA,3068227.0
AZ,2011,NSP,45377073.0
AZ,2012,CDBG,46405177.0
AZ,2012,CoC,37535269.0
AZ,2012,ESG,4270463.0
AZ,2012,HOME,15226793.0
AZ,2012,HOPWA,2498250.0
AZ,2013,CDBG,47794996.0
AZ,2013,CoC,39803090.0
AZ,2013,ESG,3385422.0
AZ,2013,HOME,14866255.0
AZ,2013,HOPWA,3762230.0
AZ,2014,CDBG,47503394.0
AZ,2014,CoC,39258830.0
AZ,2014,ESG,3882805.0
AZ,2014,HOME,16134500.0
AZ,2014,HOPWA,3139238.0
AZ,2015,CDBG,48917508.0
AZ,2015,CoC,39318816.0
AZ,2015,ESG,4234292.0
AZ,2015,HOME,14686413.0
AZ,2015,HOPWA,2496467.0
AZ,2016,CDBG,49576409.0
AZ,2016,CoC,37833350.0
AZ,2016,ESG,4403372.0
AZ,2016,HOME,15798965.0
AZ,2016,HOPWA,2539310.0
AZ,2016,HTF,3000000.0
AZ,2017,CDBG,50005846.0
AZ,2017,CoC,38526473.0
AZ,2017,ESG,5269566.0
AZ,2017,HOME,15774505.0
AZ,2017,HOPWA,2893465.0
AZ,2017,HTF,3317255.0
AZ,2018,CDBG,55554450.0
AZ,2018,ESG,4496161.0
AZ,2018,HOME,22708988.0
AZ,2018,HOPWA,3277666.0
AZ,2018,HTF,3997777.0
CA,2003,CDBG,562607000.0
CA,2003,Emergency Shelter Grants Program,18108000.0
CA,2003,HOME,271247196.0
CA,2003,HOPWA,34989800.0
CA,2004,CDBG,555228661.0
CA,2004,Emergency Shelter Grants Program,20530249.0
CA,2004,HOME,271238572.0
CA,2004,HOPWA,32150270.0
CA,2005,CDBG,526561028.0
CA,2005,CoC,200341752.0
CA,2005,Emergency Shelter Grants Program,20253605.0
CA,2005,HOME,260121594.0
CA,2005,HOPWA,36383676.0
CA,2006,CDBG,474319943.0
CA,2006,CoC,194382024.0
CA,2006,Emergency Shelter Grants Program,20197802.0
CA,2006,HOME,245106057.0
CA,2006,HOPWA,32526999.0
CA,2007,CDBG,473207266.0
CA,2007,CoC,221326930.0
CA,2007,Emergency Shelter Grants Program,20397481.0
CA,2007,HOME,244478887.0
CA,2007,HOPWA,33665920.0
CA,2008,CDBG,456494879.0
CA,2008,CoC,224717498.0
CA,2008,Emergency Shelter Grants Program,20336740.0
CA,2008,HOME,236393040.0
CA,2008,HOPWA,33125795.0
CA,2009,CDBG,461058363.0
CA,2009,CoC,251791388.0
CA,2009,Emergency Shelter Grants Program,20270762.0
CA,2009,HOME,264389342.0
CA,2009,HOPWA,36751495.0
CA,2009,NSP,529601774.0
CA,2010,CDBG,498630012.0
CA,2010,CoC,264552158.0
CA,2010,Emergency Shelter Grants Program,20218746.0
CA,2010,HOME,262945391.0
CA,2010,HOPWA,39773647.0
CA,2010,NSP,269059980.0
CA,2011,CDBG,416405347.0
CA,2011,CoC,274202077.0
CA,2011,ESG,11336720.0
CA,2011,Emergency Shelter Grants Program,20154161.0
