state,state_name,year,total,chronic,sh_chronic,uns_chronic,non_chronic,sh_chronic_ind,uns_chronic_ind,sh_chronic_fam,uns_chronic_fam
GA,Georgia ,2016,12909.0,1815.0,470.0,1345.0,11094.0,415.0,1243.0,55.0,102.0
HI,Hawaii ,2016,7921.0,1949.0,137.0,1812.0,5972.0,120.0,1539.0,17.0,273.0
IA,Iowa ,2016,3064.0,184.0,137.0,47.0,2880.0,112.0,47.0,25.0,0.0
ID,Idaho ,2016,2247.0,337.0,160.0,177.0,1910.0,99.0,128.0,61.0,49.0
IL,Illinois ,2016,11590.0,1024.0,620.0,404.0,10566.0,562.0,375.0,58.0,29.0
IN,Indiana ,2016,5798.0,589.0,374.0,215.0,5209.0,319.0,215.0,55.0,0.0
KS,Kansas ,2016,2255.0,362.0,254.0,108.0,1893.0,129.0,104.0,125.0,4.0
KY,Kentucky ,2016,4237.0,382.0,235.0,147.0,3855.0,218.0,135.0,17.0,12.0
LA,Louisiana ,2016,3994.0,570.0,167.0,403.0,3424.0,167.0,403.0,0.0,0.0
MA,Massachusetts ,2016,19608.0,2325.0,2074.0,251.0,17283.0,1023.0,249.0,1051.0,2.0
MD,Maryland ,2016,7689.0,1364.0,844.0,520.0,6325.0,782.0,495.0,62.0,25.0
ME,Maine ,2016,2241.0,217.0,174.0,43.0,2024.0,156.0,43.0,18.0,0.0
MI,Michigan ,2016,9316.0,776.0,579.0,197.0,8540.0,525.0,194.0,54.0,3.0
MN,Minnesota ,2016,7341.0,873.0,718.0,155.0,6468.0,570.0,145.0,148.0,10.0
MO,Missouri ,2016,6194.0,1136.0,765.0,371.0,5058.0,565.0,326.0,200.0,45.0
MS,Mississippi ,2016,1738.0,183.0,28.0,155.0,1555.0,28.0,152.0,0.0,3.0
MT,Montana ,2016,1418.0,137.0,26.0,111.0,1281.0,21.0,96.0,5.0,15.0
NC,North Carolina ,2016,9559.0,1184.0,638.0,546.0,8375.0,527.0,472.0,111.0,74.0
ND,North Dakota ,2016,923.0,120.0,41.0,79.0,803.0,41.0,48.0,0.0,31.0
NE,Nebraska ,2016,2754.0,233.0,196.0,37.0,2521.0,163.0,37.0,33.0,0.0
NH,New Hampshire ,2016,1366.0,281.0,216.0,65.0,1085.0,164.0,63.0,52.0,2.0
NJ,New Jersey ,2016,8895.0,822.0,399.0,423.0,8073.0,291.0,413.0,108.0,10.0
NM,New Mexico ,2016,2263.0,649.0,378.0,271.0,1614.0,342.0,261.0,36.0,10.0
NV,Nevada ,2016,7398.0,347.0,62.0,285.0,7051.0,45.0,285.0,17.0,0.0
NY,New York ,2016,86352.0,5368.0,3299.0,2069.0,80984.0,2063.0,2049.0,1236.0,20.0
OH,Ohio ,2016,10404.0,778.0,439.0,339.0,9626.0,403.0,330.0,36.0,9.0
OK,Oklahoma ,2016,4107.0,696.0,405.0,291.0,3411.0,329.0,281.0,76.0,10.0
