GEO.display-label,HD01_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Illinois,12880580,9290445,21829,1837715,10948,27995,3491,663454,5604,5825,1486,763579,22418,291567,11291,61846,5910,229721,10526
Indiana,6596855,5547390,10643,612890,6872,13063,2182,130250,3827,3216,1261,143931,10528,146115,6741,18422,2575,127693,6610
Iowa,3107126,2837758,4198,97874,3370,9617,1171,68419,3108,2576,1311,30497,3874,60385,4438,5516,1500,54869,4277
Kansas,2904021,2466138,7001,171976,4756,24500,2148,76245,2414,2471,1696,63129,5802,99562,5710,10347,2265,89215,5545
Kentucky,4413457,3858261,5024,350141,6964,10526,2316,54542,2814,2650,1378,43094,4741,94243,5982,7039,1700,87204,5642
Louisiana,4649676,2919142,5872,1502184,7081,26009,2449,78675,2378,2816,1582,42238,5421,78612,6002,8923,2096,69689,5516
Maine,1330089,1260278,1558,16557,1197,8322,1255,14447,1256,36,39,2947,1313,27502,2120,862,359,26640,2038
Maryland,5976407,3432582,12913,1774618,8851,14657,2039,369996,4570,2086,543,209461,13474,173007,8314,20650,3718,152357,7482
Massachusetts,6745408,5347420,13679,477527,8002,15599,2686,413079,4865,1329,571,279928,13749,210526,11366,29925,4124,180601,10931
Michigan,9909877,7816586,10212,1375194,8062,55729,2799,281404,4069,2260,680,121859,9960,256845,10687,21450,3219,235395,9697
Minnesota,5457173,4606959,7887,312432,5955,56934,2820,250352,3570,2392,968,85069,7176,143035,6682,10531,2102,132504,6804
Mississippi,2994079,1761195,4009,1132556,5543,12252,1701,24009,2276,458,384,25266,3313,38343,4290,3119,1043,35224,4313
Missouri,6063589,4990271,5990,711601,6936,26387,2475,107426,3866,3763,1221,73680,6990,150461,7713,12763,2896,137698,7277
Montana,1023579,914571,1553,5812,1118,70035,2384,8176,1500,276,194,2856,1056,21853,2394,1178,574,20675,2267
Nebraska,1881503,1660976,5151,88620,3209,17959,2436,38892,1651,1056,647,30095,3853,43905,4253,4518,1374,39387,3708
Nevada,2839099,1931264,12232,242994,3963,30503,2361,221841,4609,18553,1480,268796,12699,125148,7195,19787,3227,105361,6498
New Hampshire,1326813,1239410,2714,17009,2081,2339,702,33974,2254,437,312,6252,1438,27392,3155,4359,1544,23033,2735
New Jersey,8938175,6053656,22978,1212054,10107,15270,2236,827493,4813,2595,1051,621199,22403,205908,10145,49332,5247,156576,9280
New Mexico,2085572,1525459,15508,41277,2170,198450,3810,31566,2145,592,407,224820,14008,63408,5137,28179,4972,35229,2811
New York,19746227,12634312,30471,3093476,17224,81512,6631,1613255,8423,4574,1304,1746680,33590,572418,19210,137065,8803,435353,17034
North Carolina,9943964,6869207,14005,2154387,10354,111276,4198,246721,4309,5768,1738,322251,15157,234354,11322,29383,3699,204971,10634
North Dakota,739482,654375,2212,14910,1262,39669,2089,8899,919,173,158,4680,1776,16776,2951,685,343,16091,2922
Ohio,11594163,9522264,7875,1419214,9642,22761,2657,225438,5022,3223,1275,103388,7629,297875,10298,28884,3978,268991,9912
Oklahoma,3878051,2827481,6268,287254,4498,289732,5548,76654,2858,4995,1023,93987,5080,297948,9105,15694,2988,282254,8434
Oregon,3970239,3358250,13638,71042,3386,46761,3508,159891,4298,14113,1864,141502,12897,178680,7082,18524,3740,160156,6717
Pennsylvania,12787209,10408847,14006,1416865,10987,27367,3198,399285,5091,4197,1545,241491,15279,289157,12804,33564,4059,255593,11177
Rhode Island,1055173,858236,5406,70600,3924,5579,1067,35676,2016,385,421,57362,5005,27335,3951,7516,2283,19819,3015
South Carolina,4832482,3254145,8625,1320373,6935,14155,1835,68976,2531,2959,1694,69517,8565,102357,8134,7004,2091,95353,7395
South Dakota,853175,724768,2261,14830,2141,71811,2506,11017,1189,442,415,6774,1895,23533,2893,1082,538,22451,2803
Tennessee,6549352,5084404,7598,1105318,7359,17139,2466,102508,3823,3409,1289,99109,8028,137465,8211,12469,3039,124996,7830
Texas,26956958,20265860,39583,3234898,16292,121708,9067,1161951,9196,20055,2323,1488773,36237,663713,19229,135781,9222,527932,16825
Utah,2942902,2568018,10207,33520,2373,32874,2782,66060,2726,25425,2252,138510,10255,78495,6819,13849,3252,64646,5208
Vermont,626562,591853,1756,6164,1031,2513,840,9933,1118,365,370,2872,1041,12862,2167,263,172,12599,2171
Virginia,8326289,5739681,13500,1601449,10701,21233,2448,510871,6813,4553,1661,174873,12257,273629,11226,28524,4982,245105,9936
Washington,7061530,5484997,15746,251336,7633,95613,4947,554101,5778,45359,2260,247151,14847,382973,11575,36397,5447,346576,10660
West Virginia,1850326,1731464,2718,68279,3377,3716,1127,11642,1694,300,231,4172,1300,30753,3140,2384,1098,28369,2986
Wisconsin,5757564,4966282,7475,363916,4394,50703,2596,150258,3182,1384,651,105647,7331,119374,6609,13815,2623,105559,5863
Wyoming,584153,531680,2736,6320,1114,15073,1750,5541,1066,837,674,11808,2532,12894,2284,1885,746,11009,2198
