GEO.display-label,HD01_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Alabama,4849377,3320273,6197,1291826,7415,22553,2263,58456,3055,1446,723,69859,6642,84964,6399,5747,1716,79217,6270
Alaska,736732,483584,2777,24790,2506,103273,3251,43915,2139,8395,1144,9967,2196,62808,4350,3340,1322,59468,4093
Arizona,6731484,5273335,23780,280518,6306,294757,5954,212116,4644,12721,1540,433934,21381,224103,10975,48297,5481,175806,10287
Arkansas,2966369,2322472,6143,468231,4648,17091,2248,36555,2279,7148,2176,50385,5783,64487,5713,5166,1535,59321,5447
California,38802500,23814044,55051,2259681,15273,286631,13165,5398090,18287,150072,5167,5114193,54578,1779789,27724,381235,15696,1398554,25820
Colorado,5355866,4520381,14471,215446,4979,55784,5557,157958,4063,6679,1548,215290,14446,184328,9649,34186,3782,150142,8059
Connecticut,3596677,2763949,11640,371857,7049,7085,1449,151402,3740,1019,668,197532,12084,103833,7876,23831,4290,80002,6679
Delaware,935614,647533,4080,203326,3317,3284,911,36172,888,216,252,20966,3483,24117,3277,1881,733,22236,3257
District of Columbia,658893,265077,3969,321346,2832,1859,722,24910,1142,172,198,28798,4648,16731,2508,1379,487,15352,2430
Florida,19893297,15113860,28793,3221160,14886,53014,5155,524583,7659,15149,3314,489726,24853,475805,19977,84510,9271,391295,17549
Georgia,10097343,6043917,17213,3163620,12109,25301,4140,371688,5501,6638,2517,282876,16095,203303,11149,29331,4282,173972,9806
Hawaii,1419561,360711,3547,30729,2376,2191,783,534189,9753,147612,5023,13830,2449,330299,10633,10591,2189,319708,10619
Idaho,1634464,1498107,5221,11354,1682,21550,2490,24009,3453,1984,843,36664,4390,40796,4211,5718,1590,35078,3934
