GEO.display-label,HD01_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Alabama,4627851,3254107,5821,1212118,5691,20690,1954,44561,3209,1518,1310,34689,3695,60168,4763,5101,1570,55067,4495
Alaska,683478,465234,2534,25821,2172,92058,3176,32936,1975,4978,1185,15531,2952,46920,4037,1506,731,45414,3878
Arizona,6338755,4841990,21733,224991,5520,281096,5218,151414,3474,7701,1101,677188,21346,154375,9650,54418,5979,99957,7714
Arkansas,2834797,2226758,5666,442279,4286,17425,2101,33933,2991,2274,727,63856,5827,48272,4478,4287,1805,43985,3937
California,36553215,22026736,61328,2263363,12575,266051,10336,4511407,14112,126345,4508,6096927,64388,1262386,26412,407953,16135,854433,19033
Colorado,4861515,4061059,15114,189217,4534,46172,4368,131699,3317,3704,1104,302807,14246,126857,7050,32951,4223,93906,6051
Connecticut,3502309,2786401,9488,328401,5222,8211,1578,118216,2114,895,722,189379,9599,70806,5485,16049,3004,54757,5160
Delaware,864764,625354,2961,175682,3154,2223,717,25372,1333,532,461,18623,2783,16978,3365,1040,729,15938,3096
District of Columbia,588292,210332,3230,321646,1629,1172,460,18066,1198,0,300,27591,3508,9485,1674,1231,621,8254,1589
Florida,18251243,13921401,25282,2800374,14573,53978,4293,409144,5547,10022,3001,740050,25344,316274,13049,79608,5884,236666,11433
Georgia,9544750,5918880,14822,2855189,10137,22350,3384,265188,4291,4824,2028,359719,15508,118600,7981,18545,3325,100055,7545
Hawaii,1283388,341779,3685,27836,2420,3359,911,498468,8619,108583,3876,17034,2711,286329,11422,8370,2244,277959,10813
Idaho,1499402,1386347,4538,9011,1659,19347,2805,16810,1817,2149,860,33071,4120,32667,2771,3844,1189,28823,2673
Illinois,12852548,9057076,18787,1884069,8167,21705,2914,551835,4307,6074,1415,1132783,20341,199006,11421,55646,5740,143360,8637
Indiana,6345289,5436898,8556,551215,6084,13410,1926,83200,2664,969,541,152795,7457,106802,6716,14464,2798,92338,5728
Iowa,2988047,2766081,5527,70018,2980,9111,1347,47849,2025,1395,743,52435,5537,41158,3771,5841,1710,35317,3281
Kansas,2775997,2374824,6520,159268,4646,23615,2865,59948,2319,1036,618,84581,6739,72725,5270,12817,2502,59908,4812
Kentucky,4241474,3781361,4853,322149,5145,6974,1749,39749,2413,1813,1108,34108,3567,55320,4865,6968,1733,48352,4623
Louisiana,4293204,2756277,4944,1357893,6202,21683,1529,59825,2237,1803,825,40811,4754,54912,6129,6052,1963,48860,5839
Maine,1317207,1254460,3314,14652,2437,7557,1007,12718,893,296,272,3838,1365,23686,2910,907,649,22779,2817
Maryland,5618344,3402960,10537,1626017,6823,13038,1543,275002,3352,3020,1503,182967,10027,115340,7441,15023,2753,100317,6819
Massachusetts,6449755,5330421,12171,384615,7248,11347,1769,310654,3271,1966,909,290054,13916,120698,8159,21071,2576,99627,7990
Michigan,10071822,8001673,8566,1416635,8197,52228,3048,240214,3128,2368,817,167762,9852,190942,8082,24834,3306,166108,7577
Minnesota,5197621,4570486,6559,225798,4327,51764,3000,180700,3061,1396,715,71518,6700,95959,6696,9726,2214,86233,6012
Mississippi,2918785,1745130,3190,1095051,6689,10984,2249,20207,3076,1777,1351,19149,2835,26487,4369,2006,1022,24481,4161
Missouri,5878415,4930507,6300,664022,6137,22514,2308,81621,3117,7669,2744,61151,5017,110931,7382,10562,2475,100369,6755
Montana,957861,858205,2418,5961,1384,59136,2727,5040,907,774,619,5517,1644,23228,2802,1898,949,21330,2552
Nebraska,1774571,1582113,4791,70333,2616,11848,1601,25731,1670,2945,1588,46045,4205,35556,3686,3933,1438,31623,3420
Nevada,2565382,1897158,13889,190238,4094,32137,2465,155603,3248,13691,1876,200328,12865,76227,6513,11905,2121,64322,5731
New Hampshire,1315828,1247023,2726,12546,1473,2727,762,26790,1360,269,231,10142,2586,16331,2106,1584,746,14747,2088
New Jersey,8685920,6037580,18406,1185829,7876,18022,2224,648484,4774,1677,984,652830,18450,141498,8328,40139,4569,101359,6424
New Mexico,1969915,1360378,11251,44646,3260,177515,3707,27006,1511,884,713,306480,10794,53006,4406,19456,2579,33550,4051
New York,19297729,12742889,31915,3010970,11451,63864,4161,1328767,7575,8375,2046,1778293,30564,364571,15431,111101,8849,253470,12861
North Carolina,9061032,6340312,14126,1928080,8876,101359,3917,163503,3430,4172,1647,381740,15305,141866,8838,21100,3781,120766,7818
North Dakota,639715,580333,1184,5301,1018,32941,1714,6708,1510,744,593,2788,1024,10900,1814,606,387,10294,1760
Ohio,11466917,9629758,7249,1344674,7488,20414,2480,177947,3737,3704,1709,103010,6744,187410,8199,19282,2695,168128,7513
Oklahoma,3617316,2710090,7689,270332,4558,245716,7223,57885,2936,2694,1354,104040,7908,226559,10504,13705,2342,212854,10021
Oregon,3747455,3216232,10205,62852,3262,71334,7476,134150,3529,7436,965,131493,10733,123958,7816,15223,3255,108735,7401
Pennsylvania,12432792,10408647,10856,1289389,6610,16889,2076,294314,3401,2636,1064,252574,11178,168343,8222,27882,4130,140461,7068
Rhode Island,1057832,875512,5204,59107,3278,3006,973,29635,1644,58,102,68106,5642,22408,3067,6385,1930,16023,2287
South Carolina,4407709,2968269,5149,1253575,6783,13342,2177,54720,2424,1956,952,62461,5702,53386,5638,5297,1137,48089,5411
South Dakota,796215,695699,2126,8679,1693,64812,1813,6665,819,331,510,5482,1633,14547,2384,1746,921,12801,2392
Tennessee,6156719,4868752,7804,1029129,5361,12294,1889,79214,2906,3876,2037,84395,7764,79059,6108,9214,3149,69845,4935
Texas,23904380,16804155,50932,2757554,10391,111209,6280,806844,7050,17053,2260,2964688,52327,442877,16627,154668,9981,288209,12578
Utah,2645330,2381687,7640,25465,2820,31091,1959,52107,2529,21241,2324,81216,7061,52523,4528,9132,1992,43391,4104
Vermont,621254,597245,893,3873,690,1793,492,6951,693,78,88,1319,542,9995,1288,760,389,9235,1197
Virginia,7712091,5429003,11229,1509278,9012,22825,3490,373305,3933,5184,1647,218333,11782,154163,8890,20178,3340,133985,7963
Washington,6468424,5219137,12474,217876,5165,89058,4959,429406,5531,27564,1432,251023,11098,234360,9711,23622,3264,210738,8832
West Virginia,1812035,1710622,2087,62397,2310,2694,913,10126,1421,0,265,5607,1509,20589,2381,1290,854,19299,2384
Wisconsin,5601640,4891076,6051,335859,4202,46159,2214,108711,3321,2173,939,140771,6073,76891,5221,13352,2296,63539,4820
Wyoming,522830,479076,2057,3297,1419,13100,1348,2939,1195,53,77,9686,1852,14679,2170,2773,1086,11906,1948
