GEO.display-label,HD01_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Minnesota,5220393,4601081,5961,230599,3872,54792,3062,183776,2813,463,341,55598,6025,94084,5538,7650,1650,86434,5028
Mississippi,2938618,1755352,4798,1101494,5722,12156,2214,22464,2726,684,486,20699,4251,25769,3651,2905,1097,22864,3351
Missouri,5911605,4975446,6991,658199,5213,20762,1887,83705,3051,4223,1640,50712,6147,118558,6144,6640,1370,111918,5969
Montana,967440,867054,1763,5205,1117,58531,2684,6473,1276,724,523,6184,1820,23269,2820,1772,1048,21497,2638
Nebraska,1783432,1585708,4981,71178,2320,13641,1537,26699,1828,882,682,46526,4938,38798,3525,5499,1523,33299,3366
Nevada,2600167,2008916,11728,192216,3781,34517,3253,156681,3413,11229,1396,112916,10586,83692,6038,15292,2855,68400,5095
New Hampshire,1315809,1247710,2484,12940,1530,2313,966,26222,1854,263,222,8184,2523,18177,2171,2158,948,16019,2091
New Jersey,8682661,6144121,16851,1182998,9156,20712,3503,663256,4395,1339,915,507267,16654,162968,8725,36354,5126,126614,7329
New Mexico,1984356,1457480,12166,45193,3294,182865,4428,26865,1861,740,488,207897,11458,63316,6428,20495,3939,42821,4889
New York,19490297,13092844,29135,3101231,16665,72575,5900,1361955,7963,5908,2271,1466868,34658,388916,15386,111756,8592,277160,12086
North Carolina,9222414,6492030,13975,1957485,9136,96263,3586,170911,3727,4196,1331,344792,14526,156737,9344,20032,3330,136705,8250
North Dakota,641481,583732,1428,6115,692,34006,1775,5394,1142,268,272,3599,1243,8367,1650,298,308,8069,1650
Ohio,11485910,9659753,7530,1346129,7768,21242,3075,175107,3403,1612,900,72887,6662,209180,9446,17799,2754,191381,8996
Oklahoma,3642361,2761321,8619,261001,5778,235008,7595,61807,2480,3382,1343,79790,7181,240052,10285,9505,1903,230547,10320
Oregon,3790060,3286053,10792,65643,3330,63955,7108,129862,3756,9919,1443,102140,8687,132488,7631,15611,2789,116877,7356
Pennsylvania,12448279,10428104,11812,1288057,8816,17573,2732,297254,3673,3228,1397,229347,11573,184716,9185,23049,2878,161667,8798
Rhode Island,1050788,874386,5781,57169,3364,5040,1159,30192,1338,413,478,63773,6064,19815,3101,5702,1864,14113,2619
South Carolina,4479800,3025982,6180,1257796,6692,12333,1903,49260,2321,1100,755,63641,6598,69688,5438,4866,1564,64822,5336
South Dakota,804194,700446,2418,7595,1358,65715,2954,6609,1278,205,196,6189,2009,17435,2583,1696,891,15739,2405
Tennessee,6214888,4936962,7398,1015527,6959,15490,2211,81980,2801,2903,1777,66031,7132,95995,6996,9769,2421,86226,6493
Texas,24326974,17971317,41576,2780252,16213,121351,7136,841339,7407,18344,2519,2119034,38523,475337,16948,137665,7675,337672,13637
Utah,2736424,2489521,6528,30001,2957,29127,2646,53800,2638,20420,2017,57330,6423,56225,4668,7789,1553,48436,4455
Vermont,621270,595770,882,4650,864,1481,675,7405,1001,57,62,2340,831,9567,1446,288,312,9279,1401
Virginia,7769089,5500412,13834,1520432,7979,24007,3712,374329,5130,4148,1637,179763,13612,165998,10421,26376,3811,139622,9408
Washington,6549224,5264309,13142,219519,5570,91005,6109,424582,5366,29072,2126,260582,13223,260155,9431,27045,3799,233110,8692
West Virginia,1814468,1712086,2572,61759,3368,2458,883,9589,1475,327,244,3005,1088,25244,3159,1363,724,23881,2990
Wisconsin,5627968,4972897,6564,325385,3973,48496,2775,115084,3015,935,594,74797,6422,90374,6707,11235,1897,79139,6156
Wyoming,532668,489365,2050,5660,1134,10886,1500,3732,1166,180,224,8075,1809,14770,2193,2653,961,12117,1786
