GEO.display-label,HD01_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Alabama,4661900,3276551,5764,1220643,5459,23966,2966,45539,2563,1127,749,33459,4931,60615,5519,3075,1066,57540,5397
Alaska,686293,474317,2992,24883,3362,87337,3730,31826,1833,3764,596,8553,2195,55613,4357,4254,1479,51359,4097
Arizona,6500180,5203987,24782,235758,5217,286749,6948,154416,4412,9340,1212,442577,23553,167353,9487,44381,4519,122972,8195
Arkansas,2855390,2247623,5990,442636,4009,14967,1884,29466,2253,1916,511,62280,5645,56502,4787,5541,1876,50961,4456
California,36756666,22961988,65263,2260601,14054,314380,14041,4548741,13354,132180,5944,5228278,64372,1310498,26071,350744,15458,959754,22062
Colorado,4939456,4185668,14863,187556,4562,47835,4454,126143,3427,5464,1333,234656,13697,152134,8663,29901,3764,122233,7927
Connecticut,3501252,2805744,10563,331149,5145,8121,1875,121295,2685,1008,667,159822,10325,74113,6532,12322,2700,61791,6270
Delaware,873092,634981,3460,179664,2808,2652,696,25280,810,135,173,15589,3408,14791,2497,1170,708,13621,2435
District of Columbia,591833,221911,3817,316278,3298,2212,795,20091,755,564,760,18958,3748,11819,3447,1320,805,10499,3066
Florida,18328340,14215502,25777,2815369,12463,47526,4877,420393,5048,7560,1547,480978,23831,341012,14559,68571,5898,272441,13652
Georgia,9685744,5998817,17185,2904035,10163,22754,3006,277323,4780,3249,1361,345171,18299,134395,8695,18812,2976,115583,7963
Hawaii,1288198,348746,3714,30666,3778,3090,703,495454,9033,116190,4249,18358,3575,275694,11060,10164,2269,265530,10935
Idaho,1523816,1412637,5006,7958,1361,16473,2274,18509,1930,1488,868,27714,4102,39037,3429,3976,1412,35061,2997
Illinois,12901564,9380332,28707,1880617,12552,24025,2967,552245,5620,2481,986,839621,29224,222243,11962,54415,6517,167828,8406
Indiana,6376792,5467562,9363,547483,4725,15677,1977,84810,2512,1482,898,135989,8562,123789,6973,16344,2704,107445,6351
Iowa,3002557,2783128,5425,76221,3205,9883,1912,47281,2176,1598,1048,39669,4877,44777,3753,4280,1060,40497,3447
Kansas,2802134,2416768,7426,157596,4508,20503,2490,59999,2180,1954,612,69533,7123,75781,4545,7221,1585,68560,4425
Kentucky,4269245,3802285,4563,316828,5036,7530,1675,43712,3358,2722,1452,34446,4036,61722,4993,5287,1446,56435,4697
Louisiana,4410796,2824780,5754,1405062,5377,27865,2600,64550,3334,1130,752,37065,5474,50344,4480,5877,1720,44467,4359
Maine,1316456,1261279,1578,12332,1681,7090,1180,10760,955,323,237,3509,1373,21163,1989,1429,939,19734,1781
Maryland,5633597,3449411,12091,1625411,7029,15989,2492,285912,3283,1597,795,135287,10828,119990,7624,12793,2327,107197,7163
Massachusetts,6497967,5363392,14558,406998,8730,14329,2346,322218,3133,561,310,256616,15152,133853,9498,24611,4149,109242,8483
Michigan,10003422,7964843,8719,1388878,7624,54169,3859,231681,3694,2813,1068,144094,9956,216944,8704,24829,3763,192115,7217
