GEO.display-label,HD01_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Alabama,4802740,3318110,8630,1281095,4637,24408,2242,54259,2260,1919,1208,58499,7039,64450,5189,5766,1769,58684,4826
Alaska,722718,482698,2741,23143,2072,102293,3803,37971,2083,7785,727,8599,1933,60229,4733,3382,1371,56847,4516
Arizona,6482505,5141027,23299,265940,7841,289812,5175,177297,6178,11941,1586,402195,21457,194293,11560,48953,6342,145340,10223
Arkansas,2937979,2296248,7497,463364,4287,16772,2398,34342,2594,7279,1910,62745,7426,57229,5642,5570,1652,51659,5206
California,37691912,23698393,65345,2253905,15479,289597,14245,4970627,17933,146894,5678,4738489,66403,1594007,33877,367859,18403,1226148,25786
Colorado,5116796,4318187,17394,203243,4916,51677,4851,143760,3834,5949,641,221207,15837,172773,9552,36014,4659,136759,7670
Connecticut,3580709,2787171,11468,359683,5702,7481,1778,141081,2409,1416,755,195293,10646,88584,5802,21150,3427,67434,4884
Delaware,907135,636680,4729,193899,2993,2794,895,29930,1168,22,29,19682,4485,24128,3358,2548,1242,21580,3200
District of Columbia,617996,246505,3665,309845,2181,1956,848,22510,968,0,200,24420,3654,12760,1744,1315,601,11445,1673
Florida,19057542,14535897,31466,3046628,20255,63416,6292,463164,8849,12545,3380,512411,27599,423481,20163,87418,9889,336063,17975
Georgia,9815210,5961961,19867,3021927,14079,24980,4510,322841,7505,5659,2702,287608,19454,190234,12372,26079,4788,164155,11433
Hawaii,1374810,343352,3503,26281,1452,3942,1158,523824,9782,128087,5294,17772,3259,331552,13187,9336,2687,322216,13960
Idaho,1584985,1465484,5687,8392,1656,20511,2685,20913,2460,1287,682,28938,5066,39460,4126,4935,1616,34525,3632
Illinois,12869259,9328438,27666,1867304,10690,25818,3305,599115,6487,1378,632,783647,28478,263559,12405,55819,6037,207740,11389
Indiana,6516922,5512023,8881,589109,7189,12817,1863,102695,4396,786,503,157123,10274,142369,7286,20049,3898,122320,6182
