GEO.display-label,HD01_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Alabama,4708708,3295027,5329,1229268,5545,24076,4031,51410,2190,2171,1340,42671,5367,64085,5544,4925,1454,59160,5422
Alaska,698473,477384,2779,27067,1511,91953,3540,33636,1807,5351,962,11743,2551,51339,3796,3389,1450,47950,3769
Arizona,6595778,5275163,22502,254011,7261,294145,8429,167881,3725,11340,2213,409874,20106,183364,10417,41357,5273,142007,8054
Arkansas,2889450,2265537,6371,447786,5069,18241,2695,32202,2525,2329,530,66303,6069,57052,4396,4925,1505,52127,4252
California,36961664,23157650,76456,2247948,13760,295755,12869,4618747,13431,137544,4945,5097436,73157,1406584,28150,364321,16798,1042263,23146
Colorado,5024748,4251059,15433,194951,5530,49142,5335,130216,3502,5737,1381,231507,16039,162136,8765,27504,4432,134632,7733
Connecticut,3518288,2782023,11137,337293,5466,9801,2758,124037,2221,969,687,185642,11639,78523,5538,16105,3269,62418,4982
Delaware,885122,636530,4204,183790,3416,2736,999,27132,956,0,263,16040,3257,18894,2871,1804,951,17090,2871
District of Columbia,599657,232247,4198,319119,2130,1835,730,17268,980,539,368,17600,3915,11049,1940,913,548,10136,1862
Florida,18537969,14258610,28885,2898631,16932,57715,6619,442687,6207,8906,2648,513581,26082,357839,15399,77485,7933,280354,13704
Georgia,9829211,6079509,18960,2946121,12586,22599,2671,291741,4651,6244,2446,323130,18305,159867,10645,22117,3513,137750,10013
Hawaii,1295178,348380,3796,29307,3852,3477,1252,480137,10327,114085,4235,13486,2957,306306,12667,10072,2434,296234,12574
Idaho,1545801,1427540,5416,10240,1849,22742,3178,17263,1442,1245,785,27703,3741,39068,3805,6957,1972,32111,3207
Illinois,12910409,9359857,25121,1878098,9494,24655,3029,565429,4712,1934,842,848996,24246,231440,12445,51615,5565,179825,10027
Indiana,6423113,5502046,8276,566692,5579,13690,2243,90593,2842,1163,652,131257,8069,117672,6879,20488,3596,97184,5623
Iowa,3007857,2774940,5315,76411,3649,11080,1959,45771,2202,427,281,44975,4714,54253,4619,8057,1802,46196,4439
Kansas,2818747,2433099,7680,157223,4450,23353,2182,61630,1797,1686,1316,59853,6960,81903,6204,9535,2395,72368,5272
Kentucky,4314113,3829537,5811,323189,6246,10269,2065,42155,1890,1240,740,37092,5000,70631,5616,7093,1919,63538,4863
Louisiana,4492076,2859980,4967,1435911,6488,22236,2597,66977,2472,1693,1303,42957,4996,62322,5954,6545,1444,55777,5527
Maine,1318301,1251450,4053,17563,3232,6865,961,12270,1042,138,228,3866,1343,26149,2933,1058,668,25091,2905
Maryland,5699478,3432154,11525,1652857,8588,16146,2728,290108,3691,2475,997,176532,11618,129206,8900,16508,3060,112698,8082
Massachusetts,6593587,5434502,12713,416571,7537,9887,2066,328684,3749,2499,1357,247899,13434,153545,9306,26126,4231,127419,9092
Michigan,9969727,7966936,9237,1388500,9079,49871,3328,241867,3794,2693,1118,122345,9968,197515,9872,23197,3302,174318,9022
Minnesota,5266215,4601572,8234,233086,4575,55102,2762,196043,2790,3003,1397,73135,6638,104274,5376,9258,1785,95016,5212
Mississippi,2951996,1758282,4600,1096054,6284,13537,2333,23046,2602,342,565,24083,3925,36652,4414,1699,894,34953,4255
Missouri,5987580,5021359,6508,669157,6213,18777,2229,86834,2850,3809,931,60766,6365,126878,7738,9956,2059,116922,7342
Montana,974989,871719,1969,2944,1048,65711,2628,5250,1064,279,269,7350,1873,21736,2457,1638,769,20098,2292
Nebraska,1796622,1583709,6127,76793,2808,16774,2724,29913,1785,955,845,50884,5280,37594,3291,6287,1540,31307,2839
Nevada,2643085,2013125,12227,202700,4022,31039,3106,174754,3442,13973,1074,119399,11427,88095,7261,16296,3269,71799,6529
New Hampshire,1324575,1251946,2740,16641,1369,3222,1152,25036,1423,135,135,10706,2621,16889,2228,1443,657,15446,2084
New Jersey,8707740,6154878,20046,1188841,9583,22927,3207,677022,4571,1667,915,475348,20081,187057,11751,42161,5542,144896,9896
New Mexico,2009671,1456668,14648,43413,3115,188420,5705,28263,1745,1307,641,230591,13391,61009,6380,21610,3877,39399,4718
New York,19541453,13162838,28090,3068887,16566,64231,5162,1373918,6821,6191,1513,1473739,27086,391649,15945,99567,7124,292082,13175
North Carolina,9380884,6609224,13647,1972003,11599,100271,3712,184275,3620,3076,1168,319170,13399,192865,11190,22440,3800,170425,10144
North Dakota,646844,583263,1168,6962,817,37056,1815,5044,917,216,215,3924,1154,10379,1656,487,488,9892,1698
Ohio,11542645,9694632,8082,1363461,8833,19992,3158,179729,3694,2299,782,78010,7284,204522,9116,14292,2157,190230,8882
Oklahoma,3687050,2778234,10183,268412,5648,223324,7217,59650,2790,3150,1426,90973,8981,263307,8630,11260,1763,252047,8486
Oregon,3825657,3274965,13541,68196,4095,48611,6003,137749,3657,13705,1955,149204,13631,133227,7826,15770,2807,117457,7119
Pennsylvania,12604767,10525640,13378,1325314,9617,16761,1947,310990,4090,3020,1296,229560,11790,193482,9500,26904,3673,166578,8799
Rhode Island,1053209,869575,5927,63171,3411,3901,1010,31142,1410,76,93,66236,5525,19108,3080,5808,2018,13300,2364
South Carolina,4561242,3082191,8192,1273826,5710,11993,2025,57335,2593,2717,1871,65551,7176,67629,5702,7317,1805,60312,5479
South Dakota,812383,701305,3498,8530,1093,69703,3277,8210,1392,59,101,7738,1955,16838,2526,1877,928,14961,2256
Tennessee,6296254,4981348,9176,1039226,7122,13070,2354,86439,2956,2116,938,72277,8716,101778,7096,10419,2741,91359,6805
Texas,24782302,18277105,50705,2856747,12761,139030,11206,883429,6934,19339,2298,2075500,51246,531152,17047,157831,11610,373321,12761
Utah,2784572,2487925,9144,32388,3194,31222,2922,56760,2351,22481,1565,92923,8685,60873,5523,11097,2661,49776,5229
Vermont,621760,595344,1319,5145,855,1944,765,6042,774,38,62,2061,1116,11186,1390,310,218,10876,1413
Virginia,7882590,5552824,13239,1542737,9786,25006,3732,391484,4658,6147,2220,173971,12358,190421,12486,26352,4878,164069,10805
Washington,6664195,5342426,13297,229534,6084,87973,5620,441231,6051,29770,1809,249828,14879,283433,11425,33877,4180,249556,10893
West Virginia,1819777,1715221,2503,56331,3718,3219,1050,11417,1420,148,159,3330,1103,30111,3366,735,508,29376,3349
Wisconsin,5654774,4997567,7097,339527,5242,48448,2519,120116,2759,1216,570,59545,5719,88355,6139,9508,1779,78847,5731
Wyoming,544270,497086,1966,5152,985,14019,1536,3649,1249,359,291,10073,1873,13932,1876,2929,908,11003,1626
