GEO.display-label,HD01_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Alabama,4785298,3324276,6847,1262980,5127,27768,3139,52789,2754,606,300,51693,6476,65186,4432,4282,1396,60904,4238
Alaska,713985,481446,2499,24711,1612,104539,3544,39118,3257,7638,890,6496,1747,50037,4222,2194,757,47843,4260
Arizona,6413737,5095378,24661,264009,5590,285768,6634,174039,4937,12180,2722,412806,22842,169557,10122,38775,4944,130782,8657
Arkansas,2921606,2289695,6567,464411,3749,18625,2295,33240,2165,5090,709,61388,6531,49157,4194,5415,1562,43742,3939
California,37349363,23322954,69327,2246353,14331,281908,12716,4900963,16077,142932,5392,4885973,67184,1568280,32388,381660,16369,1186620,26703
Colorado,5049071,4208365,17302,198117,4670,49608,5624,133796,4212,4922,1290,282026,15805,172237,8592,32757,4234,139480,7106
Connecticut,3577073,2797956,10233,356880,5421,5634,1359,134338,2644,1317,582,189961,10472,90987,6379,20812,3744,70175,5627
Delaware,899769,636052,4915,191626,2650,2470,1106,27482,1348,1191,912,17852,3914,23096,3436,3742,1462,19354,3224
District of Columbia,604453,242905,4030,309221,2659,1927,750,21552,966,233,224,16825,3775,11790,2050,1887,647,9903,2008
Florida,18843326,14411461,32433,2997377,15337,67854,6928,452580,7409,11525,2188,495530,25289,406999,16059,82745,6587,324254,14660
Georgia,9712587,5895315,17303,2976758,9979,22055,3666,316098,5145,2533,687,320937,16948,178891,10595,33468,4749,145423,9844
Hawaii,1363621,335563,4302,20345,1676,2660,801,530937,9464,134881,4613,15126,2635,324109,11358,11354,2974,312755,11240
Idaho,1571450,1449223,5879,8871,1619,21791,2283,18718,2020,2095,1052,34159,4822,36593,3845,6051,2188,30542,3211
