GEO.display-label,HD01_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Illinois,12843166,9305662,28467,1866145,10533,29545,4078,590174,6216,4008,1294,805013,28427,242619,11153,47582,4687,195037,10423
Indiana,6490621,5522578,9035,587044,7499,16320,2173,102920,3317,1201,651,131882,9845,128676,8197,16059,2816,112617,7327
Iowa,3049883,2791596,6364,95190,4381,9147,1591,51756,2060,498,370,46395,4926,55301,4856,7086,1900,48215,4519
Kansas,2859169,2436845,7539,164819,4262,25819,2538,70972,2331,888,540,70434,6729,89392,5428,11746,2918,77646,4974
Kentucky,4346266,3837101,6473,336561,6038,9201,1799,47895,3077,2290,988,41764,5053,71454,5462,5957,1744,65497,5585
Louisiana,4544228,2855924,5605,1455478,7095,28913,3426,71476,3183,4388,2907,58283,6173,69766,5753,9196,1917,60570,5544
Maine,1327567,1265687,1414,15121,1625,6876,1144,13678,1224,601,427,2034,851,23570,2152,1515,599,22055,2019
Maryland,5785982,3408003,10960,1701903,7464,18928,4576,319965,4433,2122,1041,175162,11518,159899,9557,21493,3223,138406,9023
Massachusetts,6557254,5320148,13075,443271,6703,13481,2673,353211,4785,1083,580,245326,11590,180734,11073,33834,4251,146900,10563
Michigan,9877574,7834808,10593,1385311,7695,57394,3805,241095,4236,2268,781,114906,9632,241792,10013,32498,3561,209294,8760
Minnesota,5310584,4573199,6828,273680,6367,57270,3212,209834,3915,2078,894,66664,6289,127859,7699,9761,2007,118098,7472
Mississippi,2970036,1767532,4916,1109263,5953,12478,1676,26354,2849,196,201,22381,4128,31832,4882,3084,1085,28748,4773
Missouri,5996231,4983469,6146,703257,6390,21642,2804,93404,3684,4757,1418,57171,5795,132531,7992,10422,2283,122109,8056
Montana,990898,890335,1948,4835,1072,61645,2616,5494,908,592,368,4114,1402,23883,2974,1159,488,22724,2925
Nebraska,1830429,1627046,5447,80630,3687,17005,2168,29248,2336,2257,1920,34134,4706,40109,4277,5178,1851,34931,3928
Nevada,2704642,1970730,13285,216792,5005,26812,2698,197350,4935,16279,1836,171561,12650,105118,7658,17189,2983,87929,7010
New Hampshire,1316759,1238424,3420,15448,1479,2888,891,28125,1529,297,333,10430,3226,21147,2344,2076,1027,19071,2316
New Jersey,8801624,6103285,19750,1186144,9320,18956,2852,725077,5900,2500,1567,536350,21128,229312,12412,62728,6009,166584,10881
New Mexico,2065932,1515500,12116,40588,2908,195112,3754,25323,2206,1195,698,228992,12632,59222,5179,22106,3478,37116,4417
New York,19392283,12775673,26664,3015272,17302,71792,5491,1433875,9785,6597,1710,1575686,27562,513388,13896,143739,8977,369649,14197
North Carolina,9561558,6666233,15111,2050395,11127,111756,5197,211705,4370,4404,1054,298308,14393,218757,11429,32964,4935,185793,10441
North Dakota,674499,607058,1188,8601,1080,33384,1708,7679,1065,424,332,3578,946,13775,1869,1108,721,12667,1923
Ohio,11536182,9569990,9283,1412002,9497,21331,2596,197489,3808,1492,827,93309,7510,240569,9459,23696,3609,216873,9222
Oklahoma,3761702,2764307,8104,270132,4992,261746,7116,65232,2927,4234,1081,98269,6964,297782,10694,15411,3289,282371,10420
Oregon,3838957,3262714,12729,70368,3549,49975,4056,141586,4867,12769,1315,163581,12248,137964,8568,18505,3198,119459,7158
Pennsylvania,12709630,10492442,11982,1376234,11015,20429,2439,350234,5367,2758,781,228468,11422,239065,11942,38257,4986,200808,9585
Rhode Island,1052886,857493,6327,62822,3785,3176,1052,30939,1637,1104,927,68424,6770,28928,3153,6885,1595,22043,3336
South Carolina,4636312,3110798,8478,1301988,6526,12675,2234,53658,3328,1642,992,71127,7227,84424,7091,8658,2258,75766,6673
South Dakota,816463,701880,2321,10743,1290,73601,2811,8001,1863,82,149,6060,1556,16096,2591,1709,739,14387,2612
Tennessee,6356897,4982270,9322,1066253,7068,16704,3385,93038,3471,2039,1198,88596,8563,107997,7211,12688,2803,95309,6306
Texas,25257114,18716520,44542,2970243,13225,129162,8782,969500,8159,18528,2995,1905113,39239,548048,20535,155229,11778,392819,14900
Utah,2776469,2466280,10860,28701,2468,34663,2325,51846,2665,26013,2152,103476,9471,65490,5960,12345,3065,53145,4789
Vermont,625960,597325,1265,6564,1063,1542,423,7813,915,186,213,2215,968,10315,1582,439,279,9876,1558
Virginia,8024617,5573934,16436,1569497,8714,24477,4217,438003,6485,6709,3006,192699,16161,219298,10898,26361,4539,192937,9108
Washington,6744496,5308097,14719,239112,6439,99736,5296,485029,6968,39889,2374,269378,14718,303255,11858,33433,4891,269822,10662
West Virginia,1853973,1740520,2508,57509,3533,3094,1297,10838,979,701,440,5152,1664,36159,3150,1591,725,34568,3084
Wisconsin,5691047,4951854,7436,350438,4951,47703,2687,129033,3752,1357,368,89857,6685,120805,7010,17716,2875,103089,6366
Wyoming,564460,513623,2841,4612,1021,14581,1563,3803,967,347,412,12376,2268,15118,2528,2880,1357,12238,2361
