GEO.display-label,HD01_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Alabama,4858979,3329913,5703,1303298,5731,20503,2947,59393,2341,4448,2823,54105,6092,87319,6593,6354,1637,80965,6196
Alaska,738432,481314,3176,26176,1808,101133,3272,47295,2541,6762,1818,12467,3116,63285,4721,3171,1450,60114,4492
Arizona,6828065,5285994,24068,300685,6487,308469,7402,217556,5352,11284,1274,481631,21623,222446,10813,45251,4852,177195,10284
Arkansas,2978204,2308047,6642,469555,5093,20797,2908,42404,2472,7639,907,65542,6352,64220,5652,6149,1913,58071,5445
California,39144818,23824254,64923,2277229,14769,282777,13225,5548936,20371,157554,6508,5300297,63956,1753771,30465,375682,14299,1378089,26810
Colorado,5456574,4607390,13594,224809,6222,49138,4089,162880,5083,9136,1514,209890,13025,193331,9623,30981,3713,162350,8271
Connecticut,3590886,2747943,12766,380571,6628,8893,1859,156249,2710,519,229,180107,12856,116604,7769,28025,4047,88579,6347
Delaware,945934,654904,4740,203863,3106,3121,1020,36114,1597,334,285,19157,3844,28441,3973,3500,1309,24941,3875
District of Columbia,672228,269143,3524,318831,2822,1661,1142,25944,1021,475,358,34797,4077,21377,2579,3583,1304,17794,2019
Florida,20271272,15357374,27705,3280778,15532,47032,5060,544068,8941,11898,2694,528266,22821,501856,20371,87649,9010,414207,18395
Georgia,10214860,6077438,15641,3197929,14494,28491,4538,388457,5862,4337,1726,284084,16303,234124,14764,36148,5658,197976,13098
Hawaii,1431603,372252,4443,29644,2122,3899,1122,531268,10112,134232,5671,10135,1858,350173,11268,7486,1921,342687,11146
Idaho,1654930,1514404,5361,8828,1371,23516,2780,21145,2248,1931,1013,37682,4854,47424,3957,4921,1454,42503,3504
Illinois,12859995,9238679,23235,1844624,9309,28792,3784,674236,6487,4514,1103,773685,24560,295465,10735,54938,5770,240527,10156
Indiana,6619680,5559694,9753,605660,8094,15704,2436,138664,4048,2602,1294,140617,10232,156739,9223,17634,3097,139105,9216
Iowa,3123899,2826672,5945,106610,4123,11554,2216,68505,3291,3282,1772,47404,5301,59872,4566,5026,1329,54846,4060
Kansas,2911641,2465799,7726,172109,4919,27041,3024,84221,2647,2197,1182,67275,6490,92999,6001,8380,1919,84619,5809
Kentucky,4425092,3865712,5045,355718,5355,8914,1879,59626,2828,2765,1066,38122,4649,94235,6001,6226,1681,88009,5507
Louisiana,4670724,2914693,7522,1502375,7155,22645,2192,81039,1904,1146,456,51153,6010,97673,7420,9547,2322,88126,6904
Maine,1329328,1258074,1424,14795,1718,8966,1152,13291,1358,652,436,2957,1083,30593,2478,1005,775,29588,2338
Maryland,6006401,3395048,10270,1770161,10035,15403,2830,385167,4604,2911,801,250417,12016,187294,10053,19864,3283,167430,9823
Massachusetts,6794422,5373238,12798,499357,8709,10663,1777,430739,4536,1410,690,280631,12650,198384,10100,30748,4250,167636,9562
Michigan,9922576,7801483,8387,1378111,9749,53668,3628,293157,3884,3757,1092,120463,7841,271937,10737,26374,3358,245563,10177
Minnesota,5489594,4614799,7190,320267,5209,55212,2866,258839,4929,1570,490,83169,6087,155738,6670,11514,2310,144224,6374
Mississippi,2992333,1758586,4423,1128475,4848,11723,1059,30540,2306,834,628,26315,4523,35860,4205,3785,1401,32075,3920
Missouri,6083672,5011327,7416,709969,6726,25808,2716,114889,3501,6199,1594,65614,5724,149866,8432,11522,2421,138344,7911
Montana,1032949,918701,2213,4725,1068,65106,2658,9071,1235,1034,658,7142,1882,27170,3166,1003,447,26167,3110
Nebraska,1896190,1671988,6529,90535,2978,17360,2077,39906,1996,1221,765,31466,5873,43714,3916,4210,1316,39504,3767
Nevada,2890845,1952341,14544,246720,4756,33607,3481,231566,4314,18326,1544,264719,12674,143566,8121,25019,3841,118547,6923
New Hampshire,1330608,1245262,1995,21292,1989,1561,592,34014,1938,254,231,5663,1465,22562,2362,1171,676,21391,2356
New Jersey,8958013,6060267,21214,1198613,9845,16870,3382,849240,5820,3556,1308,585855,21114,243612,11255,53981,5411,189631,10144
New Mexico,2085109,1530670,13867,47873,3058,193512,4537,29282,2691,1355,819,211620,13501,70797,6162,24651,4308,46146,5032
New York,19795791,12621132,30579,3081333,16953,69933,5571,1672186,9568,6446,1887,1763351,31551,581410,23387,142861,10778,438549,18484
North Carolina,10042802,6934715,14528,2172492,10565,120513,4986,268322,5310,4990,1430,300313,15723,241457,10393,26792,3913,214665,9988
North Dakota,756928,667900,2285,15681,1519,37745,1750,10104,829,445,409,6119,1662,18934,2508,373,329,18561,2426
Ohio,11613423,9519055,8894,1426291,11547,21901,3439,233468,4811,4995,2361,98382,7123,309331,13713,24736,3689,284595,12703
Oklahoma,3911338,2838386,6875,286314,5378,286598,6783,78528,2737,3541,946,108268,7114,309703,8731,16036,2721,293667,8761
Oregon,4028977,3433909,9509,76980,3389,50126,4304,164291,4505,14239,2030,106607,8516,182825,9150,15955,2690,166870,8564
Pennsylvania,12802503,10386678,12857,1408512,9508,25085,3616,420116,5025,4253,1249,248488,13541,309371,11537,41016,5657,268355,10233
Rhode Island,1056298,848845,6308,65504,4156,4563,1167,35540,2074,211,268,65257,6793,36378,4754,7465,2266,28913,3860
South Carolina,4896146,3292094,7581,1344114,7124,13761,1890,70342,2659,3361,1751,68788,6965,103686,6465,11651,2773,92035,6220
South Dakota,858469,725937,2619,13172,1389,71102,2895,11911,1378,737,524,10213,2321,25397,2727,1323,676,24074,2743
Tennessee,6600299,5129336,8520,1110412,8543,19294,2549,107075,3696,2909,1195,90293,7353,140980,9160,12602,2671,128378,8572
Texas,27469114,20587917,39722,3298173,17739,132948,9458,1248823,9581,20071,2687,1489855,35287,691327,21395,151197,11061,540130,18204
Utah,2995919,2611340,11303,34524,2077,35407,3544,68945,2917,23886,2762,135580,9562,86237,6919,12108,2398,74129,6879
Vermont,626042,593056,1306,7996,907,2698,709,8627,883,387,368,2129,1066,11149,1344,229,231,10920,1310
Virginia,8382993,5718051,14388,1612831,11194,22773,3258,524476,6496,5506,1079,203193,14178,296163,11097,32653,4730,263510,10907
Washington,7170351,5513655,12496,262552,7397,92403,4540,568108,7057,46453,2417,289942,11884,397238,12928,36890,4803,360348,12273
West Virginia,1844128,1722847,2814,71194,3663,2140,825,14137,1353,479,321,3870,1197,29461,3345,1372,731,28089,3373
Wisconsin,5771337,4965524,9672,362290,4469,51752,2655,156192,3592,1643,547,102235,8210,131701,7861,16740,2831,114961,7219
Wyoming,586107,536320,3624,4727,1391,12968,1357,4885,993,260,223,10612,3081,16335,2133,1724,841,14611,2056
