State,Year,Number of CoCs,Total Homeless,Sheltered Homeless,Unsheltered Homeless,Homeless Individuals,Sheltered Homeless Individuals,Unsheltered Homeless Individuals,Homeless People in Families,Sheltered Homeless People in Families,Unsheltered Homeless People in Families,Chronically Homeless,Sheltered Chronically Homeless,Unsheltered Chronically Homeless,Chronically Homeless Individuals,Sheltered Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Chronically Homeless People in Families,Sheltered Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Homeless Veterans,Sheltered Homeless Veterans,Unsheltered Homeless Veterans,Homeless Unaccompanied Youth (Under 25),Sheltered Homeless Unaccompanied Youth (Under 25),Unsheltered Homeless Unaccompanied Youth (Under 25),Homeless Unaccompanied Children (Under 18),Sheltered Homeless Unaccompanied Children (Under 18),Unsheltered Homeless Unaccompanied Children (Under 18),Homeless Unaccompanied Young Adults (Age 18-24),Sheltered Homeless Unaccompanied Young Adults (Age 18-24),Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),Parenting Youth (Under 25),Sheltered Parenting Youth (Under 25),Unsheltered Parenting Youth (Under 25),Parenting Youth Under 18,Sheltered Parenting Youth Under 18,Unsheltered Parenting Youth Under 18,Parenting Youth Age 18-24,Sheltered Parenting Youth Age 18-24,Unsheltered Parenting Youth Age 18-24,Children of Parenting Youth,Sheltered Children of Parenting Youth,Unsheltered Children of Parenting Youth
ME,2017,1,"2,280","2,100",180,"1,352","1,244",108,928,856,72,201,201,0,189,189,0,12,12,0,131,120,11,178,143,35,28,16,12,150,127,23,26,21,5,2,0,2,24,21,3,33,29,4
MI,2017,21,"9,051","8,028","1,023","5,628","4,715",913,"3,423","3,313",110,774,538,236,709,482,227,65,56,9,773,713,60,608,539,69,80,76,4,528,463,65,201,198,3,5,5,0,196,193,3,319,316,3
MN,2017,10,"7,668","6,560","1,108","3,899","2,892","1,007","3,769","3,668",101,906,552,354,813,472,341,93,80,13,281,244,37,889,739,150,136,129,7,753,610,143,315,305,10,10,8,2,305,297,8,501,488,13
MO,2017,8,"6,037","4,885","1,152","3,768","2,770",998,"2,269","2,115",154,"1,087",723,364,883,525,358,204,198,6,538,449,89,548,455,93,101,91,10,447,364,83,163,162,1,4,4,0,159,158,1,218,217,1
MP,2017,1,672,24,648,208,11,197,464,13,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,2017,3,"1,472",753,719,"1,100",452,648,372,301,71,72,24,48,61,13,48,11,11,0,57,39,18,59,40,19,21,21,0,38,19,19,9,3,6,0,0,0,9,3,6,14,6,8
MT,2017,1,"1,529",985,544,987,633,354,542,352,190,198,75,123,182,73,109,16,2,14,205,125,80,106,66,40,14,9,5,92,57,35,21,16,5,0,0,0,21,16,5,24,19,5
NC,2017,12,"8,962","6,511","2,451","6,044","4,129","1,915","2,918","2,382",536,"1,075",396,679,994,359,635,81,37,44,931,732,199,434,320,114,68,66,2,366,254,112,112,98,14,0,0,0,112,98,14,157,140,17
ND,2017,1,"1,089",758,331,832,650,182,257,108,149,45,25,20,37,25,12,8,0,8,74,58,16,80,66,14,17,17,0,63,49,14,17,9,8,0,0,0,17,9,8,19,11,8
NE,2017,3,"2,501","2,381",120,"1,698","1,578",120,803,803,0,375,299,76,361,285,76,14,14,0,174,172,2,164,151,13,11,11,0,153,140,13,54,54,0,0,0,0,54,54,0,60,60,0
NH,2017,3,"1,456","1,282",174,776,638,138,680,644,36,137,62,75,100,38,62,37,24,13,124,113,11,76,62,14,0,0,0,76,62,14,36,31,5,0,0,0,36,31,5,51,43,8
NJ,2017,16,"8,536","7,122","1,414","5,433","4,038","1,395","3,103","3,084",19,"1,069",652,417,955,542,413,114,110,4,583,494,89,492,432,60,53,52,1,439,380,59,225,225,0,0,0,0,225,225,0,300,300,0
NM,2017,2,"2,482","1,686",796,"1,865","1,147",718,617,539,78,814,463,351,712,385,327,102,78,24,248,135,113,181,138,43,78,77,1,103,61,42,14,14,0,1,1,0,13,13,0,19,19,0
NV,2017,3,"7,833","3,255","4,578","7,281","2,721","4,560",552,534,18,512,123,389,502,121,381,10,2,8,832,492,340,"2,166",235,"1,931",262,23,239,"1,904",212,"1,692",30,24,6,1,1,0,29,23,6,35,32,3
NY,2017,26,"89,503","84,948","4,555","37,390","32,890","4,500","52,113","52,058",55,"6,578","4,598","1,980","5,087","3,110","1,977","1,491","1,488",3,"1,244","1,186",58,"2,829","2,535",294,101,95,6,"2,728","2,440",288,"3,020","3,017",3,12,12,0,"3,008","3,005",3,"3,367","3,364",3
OH,2017,9,"10,095","8,786","1,309","6,688","5,494","1,194","3,407","3,292",115,772,425,347,725,396,329,47,29,18,862,785,77,695,584,111,64,63,1,631,521,110,160,154,6,1,1,0,159,153,6,223,216,7
OK,2017,8,"4,199","3,084","1,115","2,824","1,992",832,"1,375","1,092",283,660,348,312,578,295,283,82,53,29,349,235,114,363,253,110,45,27,18,318,226,92,50,44,6,0,0,0,50,44,6,63,55,8
OR,2017,7,"13,953","5,986","7,967","10,434","4,293","6,141","3,519","1,693","1,826","3,387",868,"2,519","3,120",768,"2,352",267,100,167,"1,251",583,668,"1,462",507,955,515,96,419,947,411,536,125,93,32,2,2,0,123,91,32,144,102,42
PA,2017,16,"14,138","12,340","1,798","8,271","6,529","1,742","5,867","5,811",56,"1,438",828,610,"1,372",768,604,66,60,6,963,875,88,756,608,148,60,47,13,696,561,135,466,462,4,1,0,1,465,462,3,681,677,4
